Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
229.3,43.63336945,2.074418783,1015.435669,2.4,-1.55,401.8,1.51,555.7,1.28,1335464,64695,85.41792297
228.9,43.35586166,2.146205664,1015.3760380000001,2.5,-1.55,401.9,1.51,556.0,1.27,1324851,64572,85.40515137
228.6,43.37927628,2.176955462,1015.367432,2.4,-1.55,401.8,1.51,555.9,1.27,1319673,64743,85.44490814
229.2,43.3853035,2.216478825,1015.3349,2.4,-1.55,401.9,1.51,556.2,1.27,1303585,64545,85.40393829
228.8,43.54024506,2.207437515,1015.2894289999999,2.5,-1.54,401.9,1.51,556.1,1.29,1311440,64616,85.42819214
230.1,43.26233292,2.204671383,1015.2854,2.5,-1.55,402.1,1.51,556.3,1.29,1309014,64756,85.43148041
229.2,42.91412354,2.237940311,1015.2435300000001,2.4,-1.55,402.0,1.51,556.7,1.28,1331402,64727,85.55008698
229.2,43.14291382,2.243640661,1015.269165,2.5,-1.56,402.0,1.51,556.5,1.28,1264388,64616,85.36227417
229.6,43.49507141,2.261638403,1015.287781,2.5,-1.56,402.3,1.51,556.4,1.28,1321571,64750,85.45423889
229.1,43.70347214,2.292611122,1015.276001,2.7,-1.56,402.6,1.51,556.5,1.27,1294111,64671,85.44528198
229.2,43.85131836,2.347361088,1015.3372800000001,2.7,-1.56,402.7,1.51,556.4,1.31,1350020,64717,85.47449493
229.2,43.8131485,2.3634254930000003,1015.3640140000001,2.7,-1.57,402.7,1.51,556.5,1.31,1325210,64702,85.44403076
229.4,43.37534714,2.419229269,1015.380554,2.8,-1.56,402.7,1.51,556.6,1.33,1288435,64621,85.45281219
228.9,43.56726456,2.457112312,1015.382568,2.8,-1.56,402.8,1.51,556.7,1.32,1329503,64833,85.46697998
229.9,43.49601364,2.50840044,1015.369751,2.9,-1.56,402.9,1.51,556.5,1.28,1309466,64582,85.4488678
230.0,42.99250031,2.5675020219999998,1015.4251710000001,3.0,-1.57,403.0,1.51,556.6,1.26,1295339,64635,85.47550964
229.4,42.73845673,2.583849907,1015.4093019999999,3.0,-1.55,403.0,1.51,556.8,1.26,1243224,64699,85.47407532
229.8,41.83636475,2.625701904,1015.435303,3.0,-1.56,403.0,1.51,556.8,1.29,1283688,64688,85.46529388
229.3,41.86381531,2.646182537,1015.4460449999999,3.0,-1.55,403.2,1.51,556.9,1.27,1269355,64717,85.48400879
229.3,41.91659164,2.7031812669999997,1015.459167,3.1,-1.55,403.2,1.51,556.8,1.28,1320421,64738,85.4766922
229.0,41.80846405,2.717179298,1015.492615,3.2,-1.56,403.4,1.51,557.0,1.28,1335905,64613,85.44500732
228.9,41.37366867,2.7681651119999997,1015.457275,3.2,-1.56,403.5,1.51,557.0,1.29,1311754,64738,85.47715759
229.1,40.51791,2.8736732010000003,1015.44989,3.3,-1.55,403.4,1.51,557.1,1.27,1366585,64665,85.47193909
229.5,40.21828842,2.921776533,1015.5010380000001,3.3,-1.56,403.4,1.51,557.3,1.27,1263266,64748,85.49378204
229.2,40.14779663,2.93470788,1015.4500730000001,3.4,-1.56,403.8,1.51,557.2,1.28,1265380,64723,85.48279572
228.8,39.8670578,2.973236084,1015.488647,3.3,-1.56,403.8,1.51,557.3,1.25,1376884,64564,85.47065735
229.5,39.76149368,2.9964535239999996,1015.5010380000001,3.4,-1.56,403.9,1.51,557.4,1.27,1326181,64566,85.48964691
229.1,39.53951645,3.035241604,1015.437683,3.4,-1.56,403.8,1.51,557.5,1.26,1332270,64649,85.48361206
229.6,39.3668251,3.0887308119999997,1015.45697,3.5,-1.56,403.9,1.51,557.4,1.29,1324560,64615,85.48132324
229.7,39.10733414,3.1553339960000004,1015.436157,3.5,-1.56,403.9,1.51,557.4,1.29,1314918,64648,85.50556946
229.2,38.97721481,3.192957878,1015.4365230000001,3.5,-1.56,404.0,1.51,557.7,1.3,1300716,64674,85.48011017
229.8,39.00511169,3.25162816,1015.3941039999999,3.6,-1.56,404.1,1.51,557.5,1.31,1301511,64620,85.48497009
229.6,39.17887497,3.26442647,1015.35791,3.6,-1.56,404.1,1.51,557.5,1.27,1297141,64827,85.49819946
228.7,39.10192108,3.278078318,1015.3859859999999,3.6,-1.56,404.1,1.51,557.8,1.28,1309400,64502,85.48139191
229.1,39.17140579,3.332812309,1015.3894039999999,3.7,-1.57,404.3,1.51,557.8,1.29,1248210,64557,85.47924805
229.1,39.27925491,3.340747118,1015.371582,3.7,-1.56,404.3,1.51,557.8,1.28,1287582,64664,85.49782562
229.5,39.23270035,3.3580918310000003,1015.4010619999999,3.7,-1.57,404.4,1.51,558.0,1.29,1305708,64602,85.50350952
229.2,39.09966278,3.3751687999999995,1015.4054570000001,3.8,-1.56,404.4,1.51,558.1,1.29,1345938,64595,85.50635529
229.3,39.00870895,3.397823572,1015.363342,3.8,-1.57,404.4,1.51,558.1,1.3,1348823,64660,85.52832031
229.6,38.53397751,3.4560213089999996,1015.3782960000001,3.8,-1.56,404.5,1.51,558.1,1.28,1343741,64628,85.50200653
232.1,16.80717278,-0.8785827759999999,1032.231201,-0.2,-1.56,398.2,1.54,547.5,1.39,1311032,65390,83.97869873
231.4,16.65171623,-0.822575092,1032.528198,-0.1,-1.56,398.2,1.54,547.4,1.41,1327151,65367,83.99822998
232.2,16.32917595,-0.850823998,1032.4960939999999,-0.2,-1.56,398.2,1.54,547.5,1.37,1387654,65493,83.97941589
231.8,16.20255089,-0.88006711,1032.32666,-0.2,-1.56,398.2,1.54,547.3,1.41,1279537,65199,83.94870758
232.4,16.24841499,-0.86521697,1032.361206,-0.2,-1.57,398.2,1.54,547.1,1.39,1310798,65389,83.9749527
231.5,16.18980598,-0.85242933,1032.528564,-0.2,-1.57,398.3,1.54,547.2,1.38,1279448,65361,83.9826355
232.0,16.16539574,-0.8853961229999999,1032.3374019999999,-0.2,-1.56,398.2,1.54,547.3,1.38,1331680,65411,83.94707489
232.2,16.50465393,-0.868574917,1032.363159,-0.2,-1.56,398.3,1.54,547.2,1.36,1326331,65396,83.98373413
232.0,16.32069588,-0.81011647,1032.4282230000001,-0.2,-1.56,398.5,1.54,547.2,1.35,1298899,65466,83.98542786
233.0,16.12532806,-0.81766504,1032.276245,-0.1,-1.57,398.7,1.54,547.4,1.4,1292692,65317,83.97216797
232.2,16.39492035,-0.780158639,1032.23645,-0.2,-1.57,398.6,1.54,547.5,1.38,1300971,65611,84.0004425
232.2,16.31218529,-0.79218626,1032.196289,-0.2,-1.57,398.6,1.54,547.5,1.39,1311807,65266,83.99358368
232.1,16.32119751,-0.781198442,1032.310303,-0.1,-1.57,398.5,1.54,547.8,1.39,1292704,65397,83.98780823
231.9,16.22516251,-0.797432363,1032.466797,-0.1,-1.56,398.5,1.54,547.8,1.39,1312269,65548,84.04199219
231.7,16.19101715,-0.785508037,1032.339966,-0.1,-1.56,398.7,1.54,548.0,1.4,1292530,65419,84.01251221
231.1,16.09135056,-0.7904512290000001,1032.37439,0.0,-1.56,398.9,1.54,547.9,1.38,1300759,65470,84.01168059999999
232.3,16.06064606,-0.806452811,1032.299072,0.0,-1.57,398.9,1.54,547.9,1.4,1303983,65426,83.99706268
232.4,16.25090027,-0.7890990379999999,1032.321167,0.0,-1.56,398.9,1.54,547.6,1.38,1295675,65426,84.00070190000001
232.4,16.36440086,-0.748801053,1032.2348630000001,0.0,-1.56,398.8,1.54,547.6,1.36,1281319,65507,84.00678253
231.9,16.53154945,-0.715775013,1032.270386,0.0,-1.56,398.8,1.54,547.7,1.39,1319354,65475,84.02605438
231.9,16.29191971,-0.6843835709999999,1032.496826,0.1,-1.55,398.9,1.54,547.9,1.38,1327314,65470,84.02500916
230.1,15.96451187,-0.664833665,1032.47937,0.1,-1.56,399.2,1.54,548.0,1.37,1278416,65534,84.00637054
230.2,15.73916817,-0.669217229,1032.61377,0.0,-1.56,399.2,1.54,547.3,1.37,1297720,65136,83.80031586
230.6,15.66902733,-0.680972517,1032.560791,0.0,-1.56,398.8,1.53,546.9,1.38,1312314,65213,83.86160278
230.5,15.55375385,-0.723757029,1032.604492,0.0,-1.56,398.7,1.53,546.8,1.38,1289899,65051,83.84375763
230.7,15.62405014,-0.6859487890000001,1032.6719970000001,0.0,-1.55,398.6,1.53,546.8,1.38,1285951,65175,83.90086365
230.4,15.57697678,-0.721724629,1032.43335,0.0,-1.57,398.8,1.53,546.8,1.36,1293478,65160,83.87924957
230.6,15.61236858,-0.675878346,1032.318481,0.1,-1.55,398.9,1.53,546.7,1.38,1295499,65087,83.89841461
230.5,15.79718304,-0.6856985090000001,1032.276123,0.1,-1.54,398.7,1.53,546.8,1.37,1299719,65123,83.88254547
231.1,16.17038345,-0.649232745,1032.265015,0.0,-1.55,398.7,1.53,546.7,1.36,1363545,65279,83.97303772
230.7,16.17018318,-0.629450321,1032.25354,0.2,-1.55,398.7,1.53,546.7,1.39,1319768,65132,83.91107941
230.0,15.874182699999999,-0.542338014,1032.515625,0.2,-1.54,398.8,1.53,547.0,1.36,1328357,65200,83.94013977
230.4,15.54750061,-0.574978232,1032.387573,0.2,-1.55,398.8,1.53,546.9,1.36,1382324,65061,83.90242004
230.7,15.61246014,-0.594839275,1032.615112,0.1,-1.56,398.7,1.53,546.9,1.37,1339384,65171,83.90997314
231.3,15.67507935,-0.600068331,1032.56189,0.1,-1.55,398.6,1.53,546.9,1.37,1285749,65236,83.91671753
230.4,15.68990231,-0.564853966,1032.684204,0.1,-1.55,398.6,1.53,547.0,1.37,1317361,65217,83.97023773
232.1,15.58932114,-0.566808045,1032.5115970000002,0.2,-1.56,398.6,1.53,547.2,1.37,1270639,65170,83.92703247
230.3,15.71075249,-0.527754843,1032.39209,0.2,-1.54,398.6,1.54,547.1,1.36,1278180,65401,84.02600098
231.0,15.88014698,-0.470148206,1032.369385,0.3,-1.56,398.8,1.53,547.2,1.37,1255056,65154,83.88865662
230.5,16.02506447,-0.493372411,1032.39917,0.3,-1.56,399.0,1.53,547.3,1.37,1252126,65289,83.94210815
230.1,16.03500938,-0.48499923899999997,1032.368164,0.3,-1.56,399.0,1.53,547.4,1.4,1321730,65015,83.92075348
230.6,16.05321312,-0.423212528,1032.296265,0.3,-1.56,399.0,1.53,547.3,1.39,1339308,65163,83.93395996
230.5,15.93773937,-0.298391283,1032.470703,0.4,-1.56,399.0,1.53,547.3,1.4,1320621,65311,83.9515686
230.5,15.78553486,-0.23184479800000002,1032.376343,0.4,-1.55,399.2,1.53,547.4,1.38,1316708,65175,83.92180634
231.0,15.88270378,-0.278154343,1032.4279789999998,0.6,-1.56,399.4,1.53,547.6,1.39,1257285,65132,83.94420624
230.4,15.77342701,-0.226914838,1032.4311519999999,0.5,-1.56,399.4,1.53,547.3,1.39,1264420,65252,83.94258881
231.0,15.6541872,-0.24418681899999997,1032.434448,0.5,-1.56,399.5,1.53,547.4,1.4,1260442,65176,83.94526672
230.6,15.66587162,-0.257062912,1032.417725,0.5,-1.56,399.4,1.53,547.5,1.4,1323880,65413,83.95282745
230.6,15.55425739,-0.208561048,1032.389404,0.5,-1.55,399.4,1.53,547.5,1.42,1300818,64976,83.89813232
231.8,15.66552925,-0.17569066600000002,1032.646851,0.6,-1.55,399.4,1.53,547.6,1.39,1312419,65112,83.91992950000001
230.4,15.58296394,-0.153006926,1032.451538,0.6,-1.57,399.4,1.53,547.7,1.4,1289606,65197,83.97134399
230.5,15.65524483,-0.154755846,1032.413574,0.6,-1.56,399.3,1.53,547.6,1.38,1283446,65110,83.90273285
230.7,15.86816216,-0.204629645,1032.387451,0.6,-1.57,399.3,1.53,547.3,1.37,1308204,65114,83.93370819
230.2,16.20490265,-0.174900576,1032.420532,0.6,-1.55,399.3,1.53,547.4,1.38,1360702,65198,83.95632172
230.5,15.77512455,-0.145125985,1032.39917,0.7,-1.57,399.4,1.53,547.6,1.38,1298901,65214,83.95188141
231.5,15.66584682,-0.068320103,1032.483765,0.7,-1.56,399.7,1.53,547.6,1.41,1295745,65364,83.96435547
231.1,15.51799488,-0.067990646,1032.477905,0.7,-1.57,399.6,1.54,548.0,1.41,1346019,65231,84.06040192
231.0,15.52718544,-0.051795799000000003,1032.313965,0.6,-1.56,399.5,1.54,548.0,1.38,1293991,65126,83.88299561
230.3,15.66849613,-0.056996457,1032.470093,0.5,-1.55,399.4,1.53,547.6,1.39,1391678,65150,83.93802643
230.6,15.41178799,-0.092737086,1032.5039060000001,0.5,-1.57,399.3,1.54,547.7,1.41,1351498,65175,83.93213654
230.7567,36.29327011,23.97336388,101.0328186,23.0,-0.08,430.0,1.5,575.9133,0.82,1394798,64683,90.75331116
231.106,36.39380646,24.04690361,101.0275391,23.1,-0.08,429.9,1.5,575.9715,0.84,1464023,64946,90.80532837
230.592,36.68272781,24.07543755,101.0251953,23.2,-0.08,430.1,1.5,576.1179,0.84,1418541,64760,90.76461792
230.4333,36.62149811,24.13449287,101.02760620000001,23.2,-0.08,430.2,1.5,576.2476,0.85,1394080,64778,90.77574158
231.0291,36.53139877,24.18860245,101.02721559999999,23.2,-0.08,430.1,1.5,576.4554,0.84,1416540,65011,90.80789185
230.6894,36.40851974,24.22073746,101.02854,23.2,-0.08,430.1,1.5,576.2489,0.84,1444396,64687,90.76172638
230.7034,36.23152161,24.2638588,101.0246887,23.1,-0.08,430.1,1.5,576.1483,0.84,1475765,64746,90.77758789
230.9871,36.19878387,24.23854065,101.0195679,23.1,-0.08,430.0,1.5,576.1103,0.86,1413378,64869,90.78937531
230.5057,36.1670723,24.31292343,101.02593990000001,23.1,-0.08,430.1,1.5,576.0073,0.86,1428972,64700,90.74583435
230.7876,36.32562256,24.2643795,101.0316772,23.2,-0.08,430.1,1.5,576.2875,0.83,1340450,65072,90.81520081
230.2009,36.52912903,24.33179092,101.0225525,23.3,-0.08,430.2,1.5,576.6123,0.83,1417909,64624,90.76631927
231.4737,36.62997055,24.35006142,101.02491459999999,23.4,-0.08,430.3,1.5,576.4655,0.81,1421774,64836,90.79665375
230.6956,36.82077408,24.39769363,101.0223328,23.4,-0.08,430.4,1.5,576.4174,0.83,1446273,64829,90.80341339
230.3837,36.75334549,24.50610352,101.0176025,23.5,-0.08,430.5,1.5,576.3866,0.82,1431028,64818,90.8079834
231.2386,36.61201096,24.60100365,101.0194458,23.5,-0.08,430.5,1.5,576.5977,0.81,1433308,64999,90.82699585
230.2833,36.408195500000005,24.63939667,101.02023929999999,23.6,-0.08,430.6,1.5,576.6061,0.82,1372657,64801,90.81272125
231.2346,36.53418732,24.67288971,101.01697390000001,23.6,-0.08,430.7,1.5,576.606,0.81,1420346,64716,90.82342529
230.5757,36.38115311,24.75723839,101.02333370000001,23.5,-0.08,430.6,1.5,576.881,0.83,1468115,64845,90.78096771
230.8587,36.28479004,24.64685059,101.0196899,23.5,-0.08,430.7,1.5,576.7075,0.83,1403961,64800,90.80457306
231.808,36.3854599,24.69057274,101.021106,23.6,-0.08,430.6,1.5,576.8648,0.85,1435691,65195,90.9741745
231.5472,36.69166565,24.7891674,101.0236328,23.6,-0.08,430.7,1.5,577.3488,0.85,1414431,64977,90.93873596
230.577,36.55971146,24.77942657,101.0215637,23.6,-0.08,430.7,1.5,577.0884,0.86,1400002,64670,90.76248932
230.3803,36.75049973,24.68950272,101.0205322,23.6,-0.08,430.8,1.5,576.5438,0.88,1396413,64748,90.76439667
230.3323,36.46077728,24.66844368,101.02092900000001,23.6,-0.08,430.8,1.5,576.5335,0.88,1439774,64680,90.79488373
230.2554,36.39769745,24.61460114,101.02164920000001,23.5,-0.08,430.9,1.5,576.3826,0.87,1428534,64627,90.79823303
230.8661,36.28549957,24.54550171,101.02422490000001,23.5,-0.08,430.7,1.5,576.3918,0.85,1444948,64749,90.7779541
230.6848,36.53993607,24.57991982,101.0246155,23.6,-0.08,430.7,1.5,576.586,0.86,1430288,64767,90.79375458
230.5257,36.60041428,24.60937881,101.0227051,23.7,-0.08,430.7,1.5,576.7556,0.88,1442099,64881,90.81365204
230.3756,36.88311005,24.61193085,101.02389529999999,23.6,-0.08,430.7,1.5,576.7469,0.86,1423736,64634,90.79927063
