,power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,c_pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
1,1.1352646317288684,10.781865636444294,1.5416703074786364,448.5860525462754,1.8610024806503138,0.06315787968578403,3.154342589688319,0.006476922537212999,3.0077306612611654,0.17254731709343216,31406.144922578063,277.2818461119417,0.0692655327620256,0.00400852033278676,0.003562386743258526,0.0013123248440365931,41.18130893022415
2,0.5228722846596121,4.0827812744301015,0.8391700275945473,0.2558453676155311,0.8802616593788622,0.0004999999999999997,1.4845198712446754,0.002677180089774053,1.7623229572112427,0.022309834081450597,31198.655408160903,77.77576497723759,0.02650810928183814,0.001346018739201592,0.001563718842356014,0.0007529800754870386,17.322254558364946
3,0.9398990785787352,3.410386255120816,0.8662643716872785,317.529023549842,0.2250453876797526,0.08194234430585443,0.9436962926190735,0.003437146693046003,3.0109575377312345,0.13477391521356746,35002.01435021214,328.1949543450569,0.047919340941789935,0.0007686165570016391,0.003266609652548045,0.0010442522596589901,24.395762696971225
4,1.749128711935605,19.2919541032857,1.958845836315299,3.1805025772213096,2.175819787367511,0.01724570396122531,3.4571372150256594,0.009599879349327333,2.503896038422508,0.04801129359427665,33251.03934652863,391.1126733898696,0.09742192250370056,0.00416675088956701,0.001962366305926277,0.0011306921173525187,31.719550817627432
5,0.4639425800415051,8.391005783291165,1.4542949240536294,212.8605859885781,1.6830469825836403,0.03773625330455063,3.0968710735108558,0.004985141900784048,2.1515424867411332,0.07804224308481161,31767.428831131354,139.48851795891224,0.05068408037739971,0.0034335738080602486,0.00296700757931753,0.0008810299066879316,23.832191774439636
6,0.926174676390661,7.333732218149912,3.0610870333087825,211.94989677899184,2.2145098673083545,0.04681400752748374,4.260440683017079,0.004378492751736196,2.5230936045723684,0.08929705050575378,33738.1943677764,248.6003219905828,0.048912841770234694,0.002682967336968573,0.002904916628925467,0.0009473597981073642,23.116654316821094
7,2.718328122765695,27.73189040403852,1.4303200983710989,6.793576525805968,1.3441791584691727,0.06981996164439755,1.8134714919736854,0.015615138397395409,3.987212066456096,0.375568076008839,33400.83184663415,682.2518997532958,0.14821903491737862,0.0008907459851033006,0.0013406162781223864,0.0010413228215997716,25.61089028270913
8,3.7044042042902405,10.165705431203042,1.4162167310810276,335.09970474066574,1.4848775187314671,0.0894467825771645,3.122581401924428,0.012066487449071172,7.214003624122082,0.16046328358180562,33118.45368901496,912.2884896826988,0.10981350804334498,0.001634514827334709,0.005466285601877058,0.001292740763001235,29.367348838839863
9,1.6974006144556089,7.263903375679625,1.014819386067705,429.86625248760345,0.8774058591350036,0.1125933776219078,1.589456183184162,0.006813211307196784,4.071346981615844,0.19422084913573212,33382.02523889047,305.2713156667722,0.06284333586695734,0.0012041667621696234,0.00536772741510951,0.0015651278747390012,36.071855100226394
10,2.5098909576306565,8.699514378692095,1.019377817500578,373.85435600565023,1.2562244716426305,0.0995923021566973,2.0211693230951413,0.009089115424823633,6.035696147643434,0.17153892800281106,32489.565445648128,522.5253515555618,0.08675169227897273,0.0012607916054274784,0.006251852321166677,0.0014666861196746823,33.58130821160761
11,1.4179416789334716,5.250808826335229,1.0255203721524433,447.81211442186327,0.7682121585579514,0.11672036647679443,1.4103218847207155,0.006012278274486986,3.4726307188821623,0.20309573659478306,33499.38108821883,272.15509417190106,0.05682467356284925,0.000983308209085591,0.0048019264429614095,0.0016175778491685205,37.42041400980523
12,2.5788305037883625,17.513543486082526,1.7694283344021604,4.324808869031068,2.1316965311059097,0.0296678593270019,3.6229648144071214,0.011360563792652047,3.678419007615216,0.19516020830438768,36179.68190820212,634.0834906765298,0.11126071905306777,0.003905441745946315,0.002711321622365492,0.001621346049226216,48.11919028203354
13,1.439813578000181,11.346311918485302,2.78535186640951,5.369714560943344,2.6824552229022256,0.11017852000778022,3.3325870862151437,0.009498245230933556,4.249727303296654,0.09101197309237442,42118.69519451907,364.0603709392608,0.09816631856957847,0.004959682188891681,0.0018474032388025603,0.0013104878902505737,38.97131146687666
14,0.5440202010009141,2.394816146121185,0.4103761160974484,0.8422451360208899,0.4403977682305488,0.004483390133090117,0.9416320258477807,0.002390525760279603,0.9142733103855489,0.016907894753357387,33576.0142888593,112.15238227874538,0.024207567499027798,0.0007976198027272479,0.0009253099337577758,0.0007197397971881157,18.83391450067986
15,0.597956847426063,3.486065822511779,0.6233445379166349,0.5052413185488069,0.4694788267299371,0.008433317676007562,0.6344085912714916,0.00439264877622454,1.5126359584840177,0.021352327022958494,33665.99663084904,133.50409852414845,0.044494856997953976,0.0019655515121654644,0.0018971084158063286,0.0007424109258837112,19.401255802034232
16,0.6005644759721647,2.4262606905898245,0.37927956251339856,0.379201372323501,0.5573052971437643,0.005957464504767949,0.8911491859412691,0.00427021617221286,1.2119405413615316,0.013810267562262496,29990.256020976136,113.89171376994761,0.04362747127529901,0.000788250897755674,0.0004404451271527925,0.0006895089226302611,15.13062167182081
17,1.4112196495537228,11.215503423546775,0.21579985167423874,2.982683220008106,0.5864166775097053,0.020047728018551758,0.8154356450325468,0.008512476325603518,2.0802016548494167,0.024174027531658333,33313.45030859307,352.77342289978424,0.08988720913194442,0.001519706186186195,0.0008888427868857356,0.0006790011339130827,14.856136036422935
18,1.260001710755438,2.396147441010069,0.48410385347276,0.057267187090038446,0.46720033250733506,2.3615914381372757e-16,0.696349810892705,0.0059906460366893535,214.89208023966154,0.04488343816985854,29604.29816027359,271.18127320179866,0.05917856467245331,0.0017455874019204967,0.2870329507406295,0.0013795231031554752,45.363986556347484
19,0.3844830712002175,7.6505799466818445,0.7500386262404176,0.2511887403168101,0.8308007547907296,0.0012447600590391565,1.1503621678997717,0.004144415832242145,1.057016026891574,0.03802955311366046,27039.1931440695,69.04598929706852,0.040947624503280336,0.001988170710024025,0.0009244288185862963,0.0007928645825933858,26.08991551998701
20,0.33148201943046185,1.6492241355428185,0.3157746254264547,0.00795487370374348,0.4032928976442836,0.0025760327444465554,0.4175988176681115,3.118701073882577e-15,0.5696183120956136,0.016242558155463035,28495.37494153042,59.582538780452175,0.00030201407895884735,0.0011438672784823206,0.0005379509067151349,0.0006930805868994234,22.681535219561997
