Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
169.8,31.31438637,5.96610117,1016.9699099999999,7.5,-1.11,390.1,1.24,571.0,1.01,1097055,52826,80.62400055
169.9,29.79846954,5.893648624,1016.9929199999999,7.6,-1.12,390.3,1.24,571.1,1.03,1067219,52735,80.6088562
170.0,30.73539543,5.82831192,1016.976135,7.5,-1.13,390.3,1.24,570.8,1.03,1092200,52775,80.62549591
170.2,31.476224900000002,5.736888409,1016.987183,7.5,-1.12,390.2,1.24,570.8,1.04,1091090,52820,80.61708069
170.4,29.98356247,5.693562984,1016.972351,7.6,-1.12,390.2,1.24,570.8,1.04,1080556,52793,80.67337799
169.9,29.36570549,5.674293041,1016.9267580000001,7.6,-1.12,390.1,1.24,570.9,1.01,1063681,52825,80.6118927
170.4,28.92040062,5.707399845,1016.970459,7.5,-1.11,390.2,1.24,570.9,1.01,1069831,52766,80.61257935
170.0,27.65877533,5.760818005,1016.996033,7.5,-1.12,390.1,1.24,570.6,1.05,1105126,52908,80.61695862
170.3,27.443572999999997,5.800995827,1016.977844,7.6,-1.12,390.3,1.24,570.7,1.04,1106661,52697,80.62464905
170.7,26.7954216,5.834579945,1016.9729609999999,7.7,-1.12,390.2,1.24,571.0,1.03,1106994,52828,80.68656921
169.7,26.88487816,5.819546223,1017.0,7.7,-1.12,390.1,1.24,571.5,1.02,1106079,53034,80.77567291
170.2,27.26702499,5.831848621000001,1016.962402,7.8,-1.12,390.1,1.24,571.4,1.03,1116089,52807,80.64427948
170.0,33.77079773,5.504954815,1017.015625,7.9,-1.11,390.2,1.24,571.3,1.02,1086323,52912,80.70768738
170.3,36.274734499999994,5.194205761,1016.9776,7.9,-1.12,390.3,1.24,571.3,1.0,1106526,52762,80.72285461
170.4,37.22531891,5.025313854,1016.973816,8.0,-1.13,390.4,1.24,571.9,1.0,1056054,52939,80.8826828
170.5,37.58671188,4.901553154,1016.9403689999999,8.1,-1.12,390.4,1.24,571.6,1.02,1080002,52891,80.7672348
170.3,37.14994431,4.782056332,1016.9067380000001,8.1,-1.11,390.5,1.24,571.5,1.01,1096813,52782,80.73157501
169.2,37.36923218,4.699232101000001,1016.972778,8.1,-1.13,390.6,1.24,571.4,0.99,1050967,52924,80.71141815
170.0,38.41479492,4.519248962,1017.000061,8.1,-1.11,390.6,1.24,571.3,1.0,1037973,52660,80.70362854
169.9,38.26538467,4.42243433,1017.024475,8.1,-1.11,390.4,1.24,571.3,1.01,1098699,52792,80.75897217
168.7,38.63469696,4.407641411,1017.0264279999999,8.1,-1.12,390.5,1.24,571.3,1.02,1093176,52823,80.71403503
168.5,38.690380100000006,4.377399921,1017.0227050000001,8.1,-1.12,390.4,1.24,570.4,1.02,1072865,52395,80.31924438
168.8,37.31127548,4.43565321,1017.0181880000001,8.2,-1.12,390.4,1.24,570.1,1.01,1078405,52487,80.34989929
168.7,38.56834412,4.375207424,1016.993835,8.2,-1.11,390.2,1.24,570.3,1.02,1113373,52379,80.48684692
168.8,39.97013474,4.266507149,1017.006775,8.2,-1.1,390.2,1.24,570.4,1.03,1084333,52395,80.3986969
168.1,40.71918488,4.238777637,1016.972595,8.2,-1.12,390.1,1.24,570.4,1.02,1105903,52516,80.39786529999999
168.2,43.92874908,4.105422974,1017.074036,8.3,-1.12,390.3,1.24,570.5,0.99,1080245,52438,80.41980743
167.7,44.93415451,4.050618649,1017.068909,8.3,-1.12,390.4,1.24,570.4,0.99,1078530,52493,80.41973114
168.5,44.60928726,4.023570538,1017.0576779999999,8.3,-1.11,390.5,1.24,570.4,1.01,1128655,52303,80.41374969
168.5,44.82889175,3.991107941,1017.026917,8.3,-1.11,390.4,1.24,570.9,0.99,1040672,52581,80.62564087
168.4,45.25682449,3.936397552,1017.023499,8.3,-1.11,390.3,1.24,570.8,1.01,1094339,52542,80.41998291
168.6,45.865291600000006,3.882353783,1017.0225220000001,8.3,-1.11,390.6,1.24,570.7,0.99,1144413,52408,80.44158936
169.3,46.13840103,3.8541996480000003,1017.049316,8.3,-1.11,390.4,1.24,571.0,1.01,1097805,52641,80.53604889
169.0,46.31747818,3.80374217,1016.9851679999999,8.3,-1.12,390.5,1.24,571.1,1.0,1087455,52421,80.48154449
168.9,47.81796265,3.718010664,1017.031189,8.4,-1.11,390.6,1.24,571.0,1.02,1113389,52555,80.49652863
168.3,49.46132278,3.63692522,1016.97345,8.4,-1.11,390.6,1.24,570.8,1.03,1094960,52431,80.46993256
169.2,51.18531418,3.615456581,1017.0510859999999,8.4,-1.11,390.6,1.24,571.1,1.02,1072080,52523,80.48111725
169.0,52.46971512,3.571710825,1017.014099,8.4,-1.12,390.7,1.24,570.9,1.04,1160000,52549,80.50997162
168.7,53.49039078,3.524730206,1017.045532,8.4,-1.11,390.6,1.24,571.0,1.02,1028405,52449,80.44384766
168.6,53.76282501,3.481792927,1017.047241,8.4,-1.11,390.6,1.24,571.0,1.0,1133055,52456,80.48072052
168.7,53.39620209,3.4690513610000004,1017.0266720000001,8.5,-1.11,390.5,1.24,571.0,0.99,1107179,52490,80.5017395
168.9,52.44578552,3.441052198,1017.011169,8.4,-1.12,390.6,1.24,571.0,1.01,1122426,52524,80.48828125
169.8,51.8514061,3.449531794,1016.9736939999999,8.4,-1.11,390.7,1.24,571.1,1.02,1083912,52584,80.50166321
169.5,50.89074326,3.500371218,1017.000061,8.4,-1.12,390.6,1.24,571.7,0.99,1124467,52557,80.65745544
169.0,50.649345399999994,3.529341459,1016.96051,8.4,-1.11,390.6,1.24,572.0,1.02,1125206,52648,80.68328094
169.1,50.94822311,3.477817535,1016.987183,8.4,-1.12,390.6,1.24,571.8,1.02,1072874,52528,80.46634674
168.8,50.855636600000004,3.4770689010000004,1017.0245359999999,8.4,-1.11,390.5,1.24,571.2,1.02,1101755,52439,80.44477081
169.3,51.30907822,3.4152295589999997,1017.050537,8.3,-1.12,390.5,1.24,571.1,1.01,1111436,52556,80.46382141
168.5,52.98096085,3.356780291,1017.031555,8.3,-1.11,390.4,1.24,571.0,1.01,1097735,52484,80.50980377
169.0,54.30755615,3.294332027,1017.015991,8.3,-1.11,390.4,1.24,571.2,1.0,1120067,52490,80.47571564
168.4,54.98587418,3.258761168,1016.974731,8.3,-1.11,390.4,1.24,571.2,1.0,1098986,52510,80.44174194
168.1,55.11060333,3.1932320589999996,1017.0224,8.2,-1.11,390.4,1.24,571.1,0.99,1109971,52416,80.42287445
169.1,55.19661713,3.146618128,1016.97052,8.2,-1.11,390.2,1.24,570.9,1.0,1146665,52535,80.45845032
169.8,55.17829132,3.122635365,1017.059692,8.3,-1.11,390.4,1.24,570.9,0.99,1135651,52478,80.44085693
169.0,55.4667511,3.069155931,1017.019897,8.2,-1.11,390.4,1.24,570.9,1.0,1076441,52623,80.62763214
168.0,55.60996246,3.0793817039999998,1017.0520630000001,8.2,-1.11,390.3,1.24,571.1,1.02,1075692,52489,80.44969177
168.9,55.38415527,3.05181551,1017.03479,8.2,-1.11,390.5,1.24,571.0,1.04,1114757,52467,80.43276215
169.3,54.91233444,3.0408375260000002,1017.060486,8.2,-1.11,390.4,1.24,570.8,1.03,1127692,52574,80.48538971
168.7,53.81843948,3.042105675,1017.034851,8.1,-1.12,390.2,1.24,571.1,1.0,1091832,52612,80.65917206
168.9,53.45514297,3.053179741,1017.033264,8.1,-1.11,390.1,1.24,571.0,1.02,1089006,52505,80.41082764
168.9,52.33824158,3.089120865,1017.0266720000001,7.9,-1.11,390.0,1.24,570.8,1.0,1126294,52486,80.42695618
168.4,51.18099594,3.11685729,1017.063416,7.9,-1.11,390.0,1.24,570.9,0.99,1175897,52545,80.42130279999999
169.0,49.6475029,3.173758745,1017.018982,7.9,-1.11,390.1,1.24,570.9,1.0,1139249,52505,80.42258453
168.7,48.793552399999996,3.196628094,1017.032898,7.8,-1.1,390.0,1.24,570.7,1.01,1111088,52512,80.39244843
169.2,48.55229568,3.2320444580000003,1016.994263,7.8,-1.11,389.9,1.24,570.5,0.98,1079228,52524,80.38470459
169.1,49.18943787,3.234170437,1017.0337519999999,7.8,-1.11,390.0,1.24,570.7,1.0,1173038,52562,80.41919708
168.9,49.15358734,3.204538584,1017.036316,7.8,-1.12,389.9,1.24,570.9,1.0,1110796,52553,80.43653107
169.3,49.29602432,3.172060966,1017.031799,7.8,-1.12,389.8,1.24,570.9,1.01,1089616,52742,80.47134399
168.6,49.14891815,3.1702001089999996,1017.047302,7.8,-1.11,389.9,1.24,571.0,1.0,1109815,52455,80.41290283
169.3,48.71396255,3.17403841,1017.042725,7.8,-1.11,389.8,1.24,571.0,0.99,1104362,52548,80.41081238
168.3,48.6842804,3.1819064619999997,1017.048523,7.8,-1.11,389.8,1.24,570.9,0.99,1133196,52606,80.42416382
169.1,48.78875732,3.173100948,1017.0227050000001,7.8,-1.11,389.9,1.24,570.8,1.0,1083190,52476,80.42752075
168.8,48.61608124,3.1849126819999998,1017.0535890000001,7.8,-1.11,389.7,1.24,570.6,0.99,1079538,52512,80.40248871
169.2,47.9015274,3.228030443,1017.025757,7.8,-1.11,389.7,1.24,570.6,1.0,1147461,52506,80.39894104
168.8,47.61102295,3.2634642119999997,1017.066956,7.8,-1.12,389.8,1.24,570.3,1.02,1102264,52473,80.38525391
168.7,47.76786804,3.3086893560000004,1017.039307,7.7,-1.12,389.8,1.24,570.1,1.02,1114226,52453,80.37153625
169.0,46.11128616,3.3237195010000002,1016.994446,7.7,-1.11,389.7,1.24,570.3,1.01,1148687,52431,80.38613129
168.6,45.78593826,3.3679690360000003,1017.109375,7.6,-1.12,389.6,1.24,570.1,0.99,1163941,52484,80.41681671
169.5,45.06312943,3.3406212330000002,1017.0614619999999,7.6,-1.12,389.6,1.24,570.1,1.0,1162159,52499,80.39512634
168.9,44.94604874,3.310990334,1017.0771480000001,7.6,-1.12,389.7,1.24,569.8,1.01,1123557,52467,80.39322662
169.0,45.30733109,3.250757456,1017.083557,7.5,-1.11,389.8,1.24,569.6,1.03,1144247,52504,80.36507416
169.0,45.31597519,3.194023132,1017.081909,7.4,-1.11,389.7,1.24,569.4,1.02,1136777,52473,80.33155823
168.7,45.05873108,3.207089424,1017.095642,7.4,-1.12,389.6,1.24,569.4,1.02,1112879,52560,80.37432861
169.0,44.5685463,3.207089424,1017.045288,7.3,-1.11,389.6,1.24,569.2,1.01,1143086,52461,80.30795288
169.2,42.62067413,3.322214603,1017.0595089999999,7.2,-1.1,389.6,1.24,569.2,1.02,1148096,52463,80.30203247
169.1,39.42951202,3.4978260989999996,1017.0601810000001,7.0,-1.1,389.5,1.24,569.1,1.0,1130420,52497,80.27392578
169.5,39.72792053,3.5421419139999997,1017.0399779999999,6.9,-1.11,389.2,1.24,569.0,1.0,1171335,52497,80.25981903
169.0,39.99162674,3.5691914560000004,1017.078674,7.2,-1.11,389.1,1.24,569.2,0.99,1106064,52537,80.29387665
168.6,40.03926086,3.581487656,1017.074097,7.3,-1.11,389.3,1.24,569.5,0.99,1131187,52569,80.32991791
169.0,39.91459656,3.615403652,1017.0986330000001,7.2,-1.11,389.3,1.24,569.4,1.01,1146931,52512,80.32657623
169.1,39.4228096,3.6490638260000003,1017.0558470000001,7.3,-1.11,389.3,1.24,569.4,1.0,1119728,52647,80.37142181
169.6,39.00119781,3.681197166,1017.0251460000001,7.2,-1.11,389.5,1.24,569.5,0.99,1119001,52487,80.34502411
169.2,39.48428345,3.6914274689999997,1017.0305179999999,7.2,-1.11,389.4,1.24,569.5,0.97,1153279,52640,80.37325287
169.1,39.35853958,3.697077513,1017.0379029999999,7.3,-1.11,389.6,1.24,569.6,0.97,1134302,52574,80.35944366
169.6,37.77803802,3.759346962,1017.011719,7.3,-1.11,389.6,1.24,569.7,0.97,1114263,52579,80.38684845
168.9,38.5153656,3.8038282389999996,1017.010315,7.3,-1.11,389.6,1.24,569.4,0.96,1169468,52548,80.371521
168.8,38.52196121,3.8180406089999996,1017.0537109999999,7.3,-1.11,389.5,1.24,569.5,0.99,1150306,52506,80.33778381
