Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
282.185,18.12447357,33.87604523,100.63184809999998,29.2,-0.08,463.5,1.72,600.5834,1.42,1663509,76984,100.49346159999999
282.4781,18.36742592,33.92341995,100.6279541,29.5,-0.08,463.6,1.72,600.9849,1.41,1649164,76877,100.5756302
282.0527,19.89173126,33.80653381,100.63416140000001,29.4,-0.08,463.4,1.72,602.049,1.43,1678377,77061,100.5576248
282.1505,19.10541344,33.80027771,100.6294067,29.1,-0.08,463.5,1.72,600.8766,1.43,1688761,76773,100.4722519
281.9692,19.38931465,33.83930969,100.6289612,29.1,-0.08,463.1,1.72,600.3699,1.45,1602377,76866,100.2439651
281.71299999999997,19.22042084,33.99958038,100.62952879999999,29.3,-0.08,463.2,1.72,600.5995,1.46,1647509,76908,100.34116359999999
281.399,19.02800179,33.93933487,100.6298584,29.1,-0.08,463.3,1.72,600.9914,1.46,1630153,76856,100.3817215
281.7719,18.88947487,33.76990891,100.63008420000001,29.0,-0.08,463.2,1.72,600.525,1.45,1640290,76728,100.1831665
281.4892,19.10565376,33.95260239,100.624585,28.8,-0.08,463.0,1.72,599.3347,1.44,1618677,76678,99.99794769
282.4824,18.14984894,33.88237381,100.6228943,29.0,-0.08,463.0,1.72,599.6763,1.46,1610976,76866,100.2187881
282.2237,18.44025612,34.07974625,100.6234741,29.3,-0.08,463.2,1.72,599.8937,1.45,1667088,76759,100.23501590000001
282.1349,18.36519241,34.05025101,100.6180054,29.3,-0.08,463.1,1.72,600.5892,1.44,1606180,76914,100.2661743
282.7605,19.50911331,34.29699326,100.61528929999999,29.7,-0.08,463.5,1.72,601.0106,1.43,1635578,77016,100.6191254
282.3286,19.22846031,34.29922867,100.6145752,29.9,-0.08,463.9,1.72,602.0925,1.43,1644429,76998,100.81862640000001
281.5409,19.70947838,34.55896378,100.610199,29.4,-0.08,463.8,1.72,601.091,1.42,1641757,76833,100.3852921
281.1253,18.69477844,34.71520233,100.6158569,29.0,-0.08,463.4,1.72,600.1252,1.44,1631407,76638,100.0608215
281.1482,17.72141647,34.75145721,100.613623,29.0,-0.08,463.3,1.72,599.7495,1.42,1654190,76702,100.0669937
281.634,17.33409309,34.61177826,100.61544190000001,29.1,-0.08,463.5,1.72,599.7241,1.42,1605289,76743,100.1535339
281.931,17.12943077,34.62004852,100.61879880000001,29.1,-0.08,463.4,1.72,600.3644,1.39,1634207,76859,100.30246729999999
282.3459,16.52007484,34.23500061,100.6153564,29.1,-0.08,463.6,1.72,600.0585,1.41,1624806,76918,100.3652802
282.6923,16.29140282,34.0614624,100.6135742,29.1,-0.08,463.7,1.72,600.2133,1.45,1609388,76905,100.3057022
282.0246,16.14450836,33.98141479,100.6113953,29.3,-0.08,463.8,1.72,600.4891,1.42,1627290,76824,100.38999179999999
281.1786,16.8994751,33.87552643,100.6117371,29.3,-0.08,464.0,1.72,600.7314,1.45,1645701,76865,100.44941709999999
281.7995,17.02087593,33.82544708,100.6070496,29.3,-0.08,464.0,1.72,600.6653,1.41,1651142,76910,100.4627304
282.0713,16.76737595,33.83044052,100.6148132,29.4,-0.08,464.0,1.72,600.6837,1.41,1676026,76874,100.4757767
281.2651,16.78106499,33.90787506,100.6127625,29.2,-0.08,463.8,1.72,601.0547,1.41,1678099,77021,100.5065613
282.2242,16.69173622,33.85942078,100.61521,29.1,-0.08,463.8,1.72,600.8549,1.41,1641666,76859,100.34387209999998
281.9164,16.93308449,34.03878784,100.620166,29.5,-0.08,464.0,1.72,600.6829,1.47,1696947,76855,100.39102170000001
282.6359,17.7691555,33.87169266,100.61462399999999,29.9,-0.08,464.3,1.72,601.6357,1.44,1647684,77022,100.68788909999999
282.0539,17.84148788,34.13186646,100.6130615,29.6,-0.08,464.1,1.72,601.9612,1.47,1627499,76901,100.5700073
282.4645,17.45748711,34.26245499,100.6126343,29.4,-0.08,463.8,1.72,601.6865,1.47,1658493,76788,100.40711209999999
281.4725,17.62666702,34.15666962,100.6161865,29.4,-0.08,463.7,1.72,601.3134,1.45,1639219,76891,100.3599548
282.0569,17.49134064,34.0913353,100.6109619,29.2,-0.08,463.9,1.72,600.4215,1.44,1650134,76769,100.27525329999999
282.1264,17.89557266,34.167774200000004,100.6100098,29.3,-0.06,463.6,1.72,600.7956,1.45,1583211,76767,100.3407898
281.7437,17.93125916,34.06125641,100.6087585,29.4,-0.08,463.6,1.72,601.5125,1.44,1674072,76806,100.4299927
281.7954,19.1689682,33.83412552,100.6147766,28.9,-0.08,463.6,1.72,600.9586,1.45,1677424,76728,100.1892776
281.1441,19.56433868,33.761886600000004,100.6084045,28.9,-0.08,463.3,1.72,600.2506,1.43,1711023,76649,100.0819626
283.3371,18.83688927,33.553779600000006,100.6015747,29.3,-0.08,463.5,1.72,601.4307,1.4,1658699,76981,100.4989319
281.8787,18.79179573,33.50643158,100.60471190000001,29.1,-0.08,463.3,1.72,601.6643,1.42,1615827,76806,100.19785309999999
282.4798,18.0556221,33.61246872,100.59922490000001,29.4,-0.08,463.4,1.72,601.0156,1.46,1690519,76761,100.3798676
281.719,17.38720894,33.57771301,100.5962219,29.6,-0.08,463.6,1.72,602.0336,1.43,1596287,76869,100.4919739
282.6075,17.19904709,33.13809204,100.58758540000001,29.2,-0.08,463.7,1.72,601.9846,1.41,1612880,76789,100.46075440000001
281.9095,18.13059807,32.77093506,100.59104,29.1,-0.08,463.5,1.72,601.2758,1.42,1668580,76863,100.34539790000001
