Power,p2,m_gas
151.0265,1.14,48442
150.7977,1.14,48491
151.0417,1.14,48313
151.285,1.14,48365
151.3606,1.14,48520
152.6344,1.14,48648
151.8967,1.14,48611
151.9071,1.14,48386
151.5883,1.14,48520
151.6559,1.14,48449
151.2487,1.14,48564
151.3008,1.14,48578
151.1263,1.14,48503
151.1764,1.14,48444
151.539,1.14,48592
151.9764,1.14,48450
151.3076,1.14,48524
151.1607,1.14,48336
151.5102,1.14,48482
152.1937,1.14,48405
151.7895,1.14,48515
151.6252,1.14,48502
151.7048,1.14,48598
151.3029,1.14,48389
150.6395,1.14,48441
151.4677,1.14,48483
151.5158,1.14,48344
151.6022,1.14,48478
151.7082,1.14,48501
152.2383,1.14,48484
151.9361,1.14,48505
151.6245,1.14,48491
151.6252,1.14,48478
151.6615,1.14,48557
151.7501,1.14,48364
152.02700000000002,1.14,48464
151.496,1.14,48461
151.8624,1.14,48578
152.2981,1.14,48486
151.3467,1.14,48538
151.1334,1.14,48490
151.6396,1.14,48496
151.9593,1.14,48373
151.7419,1.14,48467
151.8342,1.14,48511
152.0668,1.14,48471
151.3387,1.14,48634
151.5363,1.14,48546
150.9797,1.14,48517
151.2841,1.14,48474
151.5688,1.14,48478
151.9509,1.14,48476
151.4949,1.14,48533
151.7962,1.14,48525
152.3778,1.14,48842
152.5963,1.14,48557
152.8288,1.14,48580
151.7096,1.14,48442
152.9687,1.14,48692
152.7371,1.14,48572
151.332,1.14,48478
151.7359,1.14,48439
151.3216,1.14,48497
151.6421,1.14,48400
152.0982,1.14,48610
151.2301,1.14,48507
151.7369,1.14,48484
152.0949,1.14,48537
151.4345,1.14,48529
151.9538,1.14,48510
151.9093,1.14,48475
151.7242,1.14,48398
152.179,1.14,48522
152.1173,1.14,48593
152.2731,1.14,48568
152.429,1.14,48652
151.6833,1.14,48470
151.731,1.14,48461
152.2338,1.14,48566
151.7101,1.14,48547
152.6361,1.14,48581
152.0548,1.14,48586
152.0818,1.14,48532
152.0107,1.14,48533
152.2943,1.14,48457
152.1459,1.14,48599
151.7329,1.14,48551
151.4805,1.14,48436
151.8593,1.14,48554
152.1226,1.14,48512
151.6019,1.14,48508
151.6738,1.14,48566
151.8365,1.14,48441
151.6725,1.14,48496
151.7587,1.14,48563
151.8343,1.14,48525
152.1207,1.14,48659
151.4554,1.14,48481
152.3695,1.14,48566
152.2235,1.14,48540
152.0226,1.14,48521
152.0016,1.14,48565
151.6079,1.14,48501
152.1386,1.14,48509
152.16299999999998,1.14,48521
151.8151,1.14,48518
152.0615,1.14,48567
151.7474,1.14,48526
152.0821,1.14,48565
153.4443,1.14,48792
152.5948,1.14,48443
152.0139,1.14,48561
152.1852,1.14,48523
152.0888,1.14,48574
152.2243,1.14,48674
151.9857,1.14,48407
152.0403,1.14,48499
151.7818,1.14,48549
151.9151,1.14,48687
151.31,1.14,48619
152.6994,1.14,48683
151.8491,1.14,48593
152.4051,1.14,48648
152.0265,1.14,48451
151.878,1.14,48538
151.8856,1.14,48520
151.7566,1.14,48534
151.6973,1.14,48630
153.1232,1.14,48670
154.2274,1.15,49062
154.4096,1.15,48751
152.2768,1.14,48664
152.3171,1.14,48560
152.8237,1.14,48684
151.9683,1.14,48452
151.6514,1.14,48498
151.9267,1.14,48512
151.8954,1.14,48435
152.4879,1.14,48830
151.4724,1.14,48422
142.6532,1.1,46622
142.6363,1.1,46700
143.2059,1.1,46652
143.3443,1.1,46875
142.6241,1.1,46628
142.2465,1.1,46661
