Power,p2,m_gas
230.4704,1.51,64855
229.9327,1.51,64662
229.656,1.5,64603
229.2698,1.51,64371
230.0809,1.5,64525
229.6287,1.51,64544
229.3832,1.5,64495
228.8327,1.51,64576
229.3504,1.5,64472
229.8494,1.5,64466
229.5878,1.5,64529
229.5118,1.51,64525
228.3686,1.51,64407
229.9039,1.5,64547
229.3483,1.51,64507
229.5395,1.5,64646
229.4184,1.5,64709
229.5572,1.5,64581
229.6559,1.5,64739
229.8761,1.51,64586
229.4554,1.51,64606
229.163,1.51,64431
229.6757,1.5,64494
229.6407,1.51,64516
229.1369,1.51,64500
229.1983,1.51,64459
229.43,1.5,64465
228.5631,1.5,64370
229.0678,1.51,64467
229.344,1.5,64494
229.1878,1.5,64484
229.1856,1.5,64531
229.6057,1.5,64517
229.4031,1.5,64540
229.7304,1.51,64732
229.0625,1.5,64429
229.5503,1.5,64524
228.8645,1.5,64623
230.3139,1.51,64693
228.6945,1.51,64463
229.1492,1.5,64501
229.406,1.51,64469
229.3083,1.5,64623
228.5927,1.5,64362
229.1769,1.51,64619
229.3498,1.51,64613
229.2449,1.5,64375
228.9715,1.5,64517
229.0619,1.51,64486
229.9194,1.51,64663
229.6431,1.51,64733
228.9709,1.5,64370
228.8952,1.5,64450
228.8686,1.5,64527
229.3382,1.5,64512
229.0806,1.5,64380
229.4425,1.5,64488
229.7605,1.5,64726
229.4435,1.51,64789
229.7803,1.5,64479
229.0991,1.5,64478
229.5172,1.5,64388
229.4452,1.51,64477
229.2537,1.5,64500
229.402,1.51,64569
230.4575,1.51,64705
228.9895,1.5,64515
229.0012,1.5,64465
229.6435,1.5,64471
229.4112,1.5,64432
229.0681,1.5,64550
228.991,1.51,64488
229.9218,1.51,64629
228.5802,1.5,64327
229.1497,1.5,64577
230.4165,1.51,64740
230.1706,1.51,64706
229.8541,1.51,64697
228.8505,1.5,64586
229.1024,1.5,64515
229.0938,1.51,64540
228.9008,1.51,64538
229.2547,1.51,64450
228.6044,1.5,64574
229.3748,1.5,64373
229.297,1.5,64487
229.2979,1.51,64675
229.6691,1.5,64581
230.9963,1.51,64916
229.6081,1.51,64610
229.377,1.51,64584
229.3705,1.51,64763
229.3327,1.51,64529
229.4077,1.51,64571
229.3895,1.51,64928
229.1698,1.51,64597
229.4774,1.51,64582
