T,t1,t2,t4
2.074418783,2.4,401.8,555.7
2.146205664,2.5,401.9,556.0
2.176955462,2.4,401.8,555.9
2.216478825,2.4,401.9,556.2
2.207437515,2.5,401.9,556.1
2.204671383,2.5,402.1,556.3
2.237940311,2.4,402.0,556.7
2.243640661,2.5,402.0,556.5
2.261638403,2.5,402.3,556.4
2.292611122,2.7,402.6,556.5
2.347361088,2.7,402.7,556.4
2.3634254930000003,2.7,402.7,556.5
2.419229269,2.8,402.7,556.6
2.457112312,2.8,402.8,556.7
2.50840044,2.9,402.9,556.5
2.567502022,3.0,403.0,556.6
2.583849907,3.0,403.0,556.8
2.625701904,3.0,403.0,556.8
2.646182537,3.0,403.2,556.9
2.703181267,3.1,403.2,556.8
2.717179298,3.2,403.4,557.0
2.768165112,3.2,403.5,557.0
2.8736732010000003,3.3,403.4,557.1
2.921776533,3.3,403.4,557.3
2.93470788,3.4,403.8,557.2
2.973236084,3.3,403.8,557.3
2.996453524,3.4,403.9,557.4
3.035241604,3.4,403.8,557.5
3.088730812,3.5,403.9,557.4
3.1553339960000004,3.5,403.9,557.4
3.192957878,3.5,404.0,557.7
3.25162816,3.6,404.1,557.5
3.26442647,3.6,404.1,557.5
3.278078318,3.6,404.1,557.8
3.332812309,3.7,404.3,557.8
3.340747118,3.7,404.3,557.8
3.3580918310000003,3.7,404.4,558.0
3.3751687999999995,3.8,404.4,558.1
3.397823572,3.8,404.4,558.1
3.456021309,3.8,404.5,558.1
-0.8785827759999999,-0.2,398.2,547.5
-0.822575092,-0.1,398.2,547.4
-0.850823998,-0.2,398.2,547.5
-0.88006711,-0.2,398.2,547.3
-0.86521697,-0.2,398.2,547.1
-0.85242933,-0.2,398.3,547.2
-0.8853961229999999,-0.2,398.2,547.3
-0.868574917,-0.2,398.3,547.2
-0.81011647,-0.2,398.5,547.2
-0.81766504,-0.1,398.7,547.4
-0.780158639,-0.2,398.6,547.5
-0.79218626,-0.2,398.6,547.5
-0.781198442,-0.1,398.5,547.8
-0.797432363,-0.1,398.5,547.8
-0.785508037,-0.1,398.7,548.0
-0.7904512290000001,0.0,398.9,547.9
-0.806452811,0.0,398.9,547.9
-0.7890990379999999,0.0,398.9,547.6
-0.748801053,0.0,398.8,547.6
-0.715775013,0.0,398.8,547.7
-0.6843835709999999,0.1,398.9,547.9
-0.664833665,0.1,399.2,548.0
-0.669217229,0.0,399.2,547.3
-0.680972517,0.0,398.8,546.9
-0.723757029,0.0,398.7,546.8
-0.6859487890000001,0.0,398.6,546.8
-0.721724629,0.0,398.8,546.8
-0.675878346,0.1,398.9,546.7
-0.6856985090000001,0.1,398.7,546.8
-0.649232745,0.0,398.7,546.7
-0.629450321,0.2,398.7,546.7
-0.542338014,0.2,398.8,547.0
-0.574978232,0.2,398.8,546.9
-0.594839275,0.1,398.7,546.9
-0.600068331,0.1,398.6,546.9
-0.564853966,0.1,398.6,547.0
-0.566808045,0.2,398.6,547.2
-0.527754843,0.2,398.6,547.1
-0.470148206,0.3,398.8,547.2
-0.493372411,0.3,399.0,547.3
-0.4849992389999999,0.3,399.0,547.4
-0.423212528,0.3,399.0,547.3
-0.298391283,0.4,399.0,547.3
-0.231844798,0.4,399.2,547.4
-0.278154343,0.6,399.4,547.6
-0.226914838,0.5,399.4,547.3
-0.2441868189999999,0.5,399.5,547.4
-0.257062912,0.5,399.4,547.5
-0.208561048,0.5,399.4,547.5
-0.175690666,0.6,399.4,547.6
-0.153006926,0.6,399.4,547.7
-0.154755846,0.6,399.3,547.6
-0.204629645,0.6,399.3,547.3
-0.174900576,0.6,399.3,547.4
-0.145125985,0.7,399.4,547.6
-0.068320103,0.7,399.7,547.6
-0.067990646,0.7,399.6,548.0
-0.051795799,0.6,399.5,548.0
-0.056996457,0.5,399.4,547.6
-0.092737086,0.5,399.3,547.7
23.97336388,23.0,430.0,575.9133
24.04690361,23.1,429.9,575.9715
24.07543755,23.2,430.1,576.1179
24.13449287,23.2,430.2,576.2476
24.18860245,23.2,430.1,576.4554
24.22073746,23.2,430.1,576.2489
24.2638588,23.1,430.1,576.1483
24.23854065,23.1,430.0,576.1103
24.31292343,23.1,430.1,576.0073
24.2643795,23.2,430.1,576.2875
24.33179092,23.3,430.2,576.6123
24.35006142,23.4,430.3,576.4655
24.39769363,23.4,430.4,576.4174
24.50610352,23.5,430.5,576.3866
24.60100365,23.5,430.5,576.5977
24.63939667,23.6,430.6,576.6061
24.67288971,23.6,430.7,576.606
24.75723839,23.5,430.6,576.881
24.64685059,23.5,430.7,576.7075
24.69057274,23.6,430.6,576.8648
24.7891674,23.6,430.7,577.3488
24.77942657,23.6,430.7,577.0884
24.68950272,23.6,430.8,576.5438
24.66844368,23.6,430.8,576.5335
24.61460114,23.5,430.9,576.3826
24.54550171,23.5,430.7,576.3918
24.57991982,23.6,430.7,576.586
24.60937881,23.7,430.7,576.7556
24.61193085,23.6,430.7,576.7469
24.63642883,23.6,430.7,576.9052
24.67611694,23.6,430.8,576.7922
24.69512749,23.6,430.8,576.7501
24.73910713,23.7,430.8,576.7979
24.7831955,23.8,430.9,577.1269
24.80870056,23.8,431.0,576.9426
24.85841942,23.8,431.0,577.1316
24.96256447,23.8,430.9,577.0261
24.99971008,23.9,431.0,577.1901
25.04402161,24.0,431.2,577.1297
25.03966522,24.0,431.2,577.2166
25.06962013,24.1,431.3,577.4431
25.09614563,24.2,431.4,577.631
25.15997124,24.2,431.6,577.7613
25.20300674,24.2,431.7,577.3657
25.27840233,24.0,431.6,577.1859
25.30804634,24.0,431.4,577.1901
25.41519165,23.9,431.4,577.21
25.47792053,23.9,431.2,577.2931
25.49290085,24.1,431.3,577.4651
25.52327538,24.1,431.4,577.6833
25.57032776,24.1,431.3,577.2889
25.62710571,23.9,431.3,577.2996
25.67853165,23.9,431.2,577.3436
25.67588425,23.9,431.3,577.4731
25.74833107,24.0,431.3,577.5905
25.7899704,24.0,431.5,577.5419
25.82404518,24.0,431.4,577.52
25.84021759,24.1,431.5,577.5306
25.87606812,24.2,431.5,577.4159999999999
25.92434311,24.3,431.7,577.4904
25.93323517,24.3,431.9,578.1774
25.83310318,24.3,431.9,577.7553
25.80765915,24.2,432.0,577.5258
25.75385475,24.3,432.0,577.2494
25.70396423,24.4,432.0,577.4373
25.65097046,24.4,432.1,577.7399
25.56266022,24.6,432.3,577.3599
25.59759712,24.6,432.3,577.499
25.62234497,24.7,432.6,577.5394
25.64118767,24.7,432.6,577.8047
25.65000153,24.5,432.5,577.8533
25.7254467,24.6,432.4,577.8898
25.74193954,24.6,432.4,577.9452
25.80296707,24.7,432.6,578.0696
25.86146545,24.8,432.8,577.9087
25.93996048,24.9,432.7,578.1875
25.90696526,24.9,432.8,578.6287
25.92238235,24.8,433.0,578.2686
25.99059486,24.7,433.0,577.5186
26.02830315,24.7,432.8,577.6933
26.09661674,24.8,432.9,577.6305
26.00606728,25.0,433.1,577.6494
25.94184494,25.1,433.1,577.96
25.95090675,25.1,433.5,577.9727
25.96678734,25.0,433.4,578.4308
26.00196075,24.8,433.2,578.3594
25.98449326,24.7,433.1,577.7094
25.86070061,24.6,433.0,577.4537
25.86514854,24.8,433.0,577.415
25.87969398,24.9,433.0,577.9625
25.85459709,25.0,433.2,578.4755
25.88453484,25.0,433.3,578.3649
25.95390129,25.2,433.5,578.4328
26.007164000000003,25.2,433.6,578.6475
25.93518829,24.8,433.5,578.3734
25.98999786,24.9,433.3,578.4015
26.04482079,25.1,433.5,578.501
26.08430481,25.3,433.7,578.6409
26.173069,25.5,434.0,578.8887
26.14406395,25.5,434.1,578.7091
26.10740471,25.5,434.2,578.6319
26.14069557,25.5,434.1,578.5219999999999
26.20894814,25.5,434.2,578.8489
26.21287155,25.5,434.2,578.9396
26.28430367,25.3,434.2,578.5912
26.3294239,25.5,434.2,578.7276
26.34552765,25.6,434.4,579.0116
26.39222527,25.7,434.7,579.217
26.48477936,25.7,434.9,579.0946
26.45983696,25.9,435.1,578.8865
26.39056015,25.7,435.1,579.0369999999999
26.54952049,25.8,435.1,579.5009
26.63455009,25.8,435.1,579.2587
26.68408394,25.9,435.1,579.1246
26.7262516,26.1,435.4,579.5458
26.66527176,26.2,435.7,579.3314
26.62714958,26.2,435.8,578.9193
26.64921951,26.2,435.9,578.5787
26.72511864,26.3,436.2,579.8117
26.85008621,26.5,436.3,579.4123
26.94000816,26.6,436.5,579.0912
26.96001053,26.4,436.5,578.7039
26.95057297,26.3,436.4,578.7334
26.88238335,26.2,436.1,579.2027
26.76791763,26.2,436.0,579.3290000000001
26.67560768,26.0,435.9,578.7424
26.68447304,26.0,435.8,578.4896
26.70672417,26.0,435.8,578.3709
26.70634079,26.2,435.8,578.4501
26.73762131,26.2,435.6,579.0958
26.80127716,26.2,435.7,579.6688
26.87097549,25.9,435.6,579.5359
26.91304779,26.1,435.6,578.9943
26.95002747,26.3,435.8,579.0526
26.95358849,26.5,436.0,579.2195
27.1119709,26.5,436.0,579.0547
27.22828674,26.4,436.2,578.7455
27.28430748,26.4,436.2,578.7028
27.35646248,26.5,436.1,578.508
27.35771179,26.6,436.3,578.9596
27.41337776,26.5,436.3,578.8802
27.47924614,26.6,436.4,579.5778
27.46372414,26.5,436.4,579.0279
27.40259933,26.4,436.6,578.4067
27.40368843,26.5,436.6,578.4303
27.36464882,26.5,436.7,578.7404
27.38487816,26.6,436.6,579.1934
27.394725800000003,26.4,436.6,579.7581
27.39751816,26.5,436.4,579.2913
27.42705154,26.5,436.6,579.0109
27.49654007,26.6,436.7,578.8065
27.53930664,26.5,436.6,578.9723
27.49359322,26.7,436.7,579.3893
27.47035217,26.6,436.7,579.363
27.44890976,26.8,436.7,579.4225
27.459198,27.0,436.9,579.5431
27.57581329,26.8,437.2,579.3195
27.67490387,26.8,437.1,578.9222
27.67516136,27.0,437.3,578.8942
27.74015999,27.1,437.5,579.1763
27.75011635,27.2,437.6,579.3492
27.75987434,27.2,437.8,579.462
27.93993378,27.3,438.0,579.4503
27.98427582,27.0,437.9,579.8545
28.01779747,26.9,437.6,579.819
28.05999756,26.7,437.4,579.3906
28.01611328,27.0,437.4,579.1943
28.01023102,27.0,437.5,579.1897
28.00387192,27.1,437.6,579.3148
28.01246643,27.2,437.9,579.422
27.89789009,27.2,437.8,579.4359
27.91586685,27.1,437.7,579.3415
28.00570488,27.3,437.9,579.2824
27.93790627,27.5,438.1,579.4738
27.98613548,27.6,438.4,579.8305
28.04864693,27.5,438.3,580.1748
28.11280441,27.4,438.4,580.0712
28.18530846,27.6,438.5,579.9147
28.292228700000003,27.6,438.7,580.205
28.36286545,27.9,438.8,580.3051
28.49944115,27.9,439.1,580.2017
28.53924561,27.9,439.1,580.0406
28.6261158,27.8,439.1,580.1889
28.66028595,27.9,439.2,580.1254
28.73246956,28.0,439.2,580.6478
28.73210526,27.8,439.3,580.4185
28.70128441,27.6,439.1,579.8616
28.66734886,27.6,439.1,579.4992
28.6142807,27.5,439.0,579.373
28.57745552,27.4,438.9,579.3843
28.56132507,27.7,438.9,579.6667
28.56646729,28.0,439.2,580.1804
28.64565277,28.0,439.4,580.3861
28.75746918,28.1,439.5,580.1721
28.7417984,28.0,439.6,580.5386
28.65473175,28.0,439.6,580.3793
28.739618300000004,27.9,439.6,579.9918
28.75973129,27.8,439.4,579.989
28.76374245,28.0,439.6,579.847
28.82293129,27.9,439.7,580.0212
28.81156731,27.9,439.8,579.6990000000001
28.67526627,27.9,439.9,579.4172
28.65536118,27.9,439.7,579.4139
28.55286789,27.7,439.7,579.5509999999999
28.63676071,27.7,439.5,579.4601
28.81695557,27.9,439.5,579.6228
29.08134842,27.9,439.5,579.7062
29.39049339,28.2,439.8,579.9069
29.63038254,28.2,439.9,580.3609
29.84223366,28.2,439.9,580.6677
30.06860733,28.4,440.0,580.4755
30.17584991,28.4,440.1,580.4109
30.45638466,28.2,440.0,580.7339
30.64823341,28.3,440.0,581.0904
30.92207718,28.3,440.0,580.6396
30.74783134,28.0,439.9,580.2553
30.86590958,28.1,439.8,579.9661
31.05520821,28.0,439.9,579.7524
31.11571121,28.0,439.8,580.006
31.23024559,28.0,439.7,580.5571
31.24520111,28.1,439.8,580.3566
31.26522064,28.3,440.0,580.3099
31.42516518,28.3,440.1,580.6583
31.32987595,28.0,439.9,580.5131
31.41158104,28.1,439.7,580.451
31.31551552,28.2,439.8,580.3398
31.30800629,28.1,439.9,579.9064
