P,p1,m4
1016.96991,-1.11,1097055
1016.99292,-1.12,1067219
1016.976135,-1.13,1092200
1016.987183,-1.12,1091090
1016.972351,-1.12,1080556
1016.926758,-1.12,1063681
1016.970459,-1.11,1069831
1016.996033,-1.12,1105126
1016.977844,-1.12,1106661
1016.972961,-1.12,1106994
1017.0,-1.12,1106079
1016.962402,-1.12,1116089
1017.015625,-1.11,1086323
1016.9776,-1.12,1106526
1016.973816,-1.13,1056054
1016.940369,-1.12,1080002
1016.906738,-1.11,1096813
1016.972778,-1.13,1050967
1017.000061,-1.11,1037973
1017.024475,-1.11,1098699
1017.026428,-1.12,1093176
1017.022705,-1.12,1072865
1017.018188,-1.12,1078405
1016.993835,-1.11,1113373
1017.006775,-1.1,1084333
1016.972595,-1.12,1105903
1017.074036,-1.12,1080245
1017.068909,-1.12,1078530
1017.057678,-1.11,1128655
1017.026917,-1.11,1040672
1017.023499,-1.11,1094339
1017.022522,-1.11,1144413
1017.049316,-1.11,1097805
1016.985168,-1.12,1087455
1017.031189,-1.11,1113389
1016.97345,-1.11,1094960
1017.051086,-1.11,1072080
1017.014099,-1.12,1160000
1017.045532,-1.11,1028405
1017.047241,-1.11,1133055
1017.026672,-1.11,1107179
1017.011169,-1.12,1122426
1016.973694,-1.11,1083912
1017.000061,-1.12,1124467
1016.96051,-1.11,1125206
1016.987183,-1.12,1072874
1017.024536,-1.11,1101755
1017.050537,-1.12,1111436
1017.031555,-1.11,1097735
1017.015991,-1.11,1120067
1016.974731,-1.11,1098986
1017.0224,-1.11,1109971
1016.97052,-1.11,1146665
1017.059692,-1.11,1135651
1017.019897,-1.11,1076441
1017.052063,-1.11,1075692
1017.03479,-1.11,1114757
1017.060486,-1.11,1127692
1017.034851,-1.12,1091832
1017.033264,-1.11,1089006
1017.026672,-1.11,1126294
1017.063416,-1.11,1175897
1017.018982,-1.11,1139249
1017.032898,-1.1,1111088
1016.994263,-1.11,1079228
1017.033752,-1.11,1173038
1017.036316,-1.12,1110796
1017.031799,-1.12,1089616
1017.047302,-1.11,1109815
1017.042725,-1.11,1104362
1017.048523,-1.11,1133196
1017.022705,-1.11,1083190
1017.053589,-1.11,1079538
1017.025757,-1.11,1147461
1017.066956,-1.12,1102264
1017.039307,-1.12,1114226
1016.994446,-1.11,1148687
1017.109375,-1.12,1163941
1017.061462,-1.12,1162159
1017.077148,-1.12,1123557
1017.083557,-1.11,1144247
1017.081909,-1.11,1136777
1017.095642,-1.12,1112879
1017.045288,-1.11,1143086
1017.059509,-1.1,1148096
1017.060181,-1.1,1130420
1017.039978,-1.11,1171335
1017.078674,-1.11,1106064
1017.074097,-1.11,1131187
1017.098633,-1.11,1146931
1017.055847,-1.11,1119728
1017.025146,-1.11,1119001
1017.030518,-1.11,1153279
1017.037903,-1.11,1134302
1017.011719,-1.11,1114263
1017.010315,-1.11,1169468
1017.053711,-1.11,1150306
1017.053955,-1.11,1105231
1017.048584,-1.12,1066653
1017.056213,-1.11,1142016
1017.038452,-1.11,1107688
1017.01239,-1.11,1157418
1017.0,-1.11,1197445
1017.01062,-1.11,1138186
1017.02063,-1.11,1131989
1017.023499,-1.11,1165595
1017.025757,-1.12,1133160
1017.034241,-1.11,1127858
1017.050476,-1.11,1102326
1017.019165,-1.11,1105094
1017.006348,-1.11,1146242
1017.021973,-1.11,1109873
1017.004089,-1.12,1089801
1016.98645,-1.11,1078584
1016.980042,-1.11,1071236
1016.978088,-1.11,1132063
1017.00238,-1.11,1101172
1016.986938,-1.11,1116917
1016.966919,-1.11,1111232
1016.93457,-1.11,1145364
1016.908142,-1.11,1117637
1016.954895,-1.12,1065290
1016.997864,-1.11,1116358
1016.970642,-1.12,1155773
1016.977417,-1.11,1088925
1016.944336,-1.11,1147052
1016.998108,-1.11,1130313
1016.965576,-1.11,1162581
1017.009277,-1.1,1131121
1016.956177,-1.11,1138459
1016.981628,-1.11,1083846
1016.957153,-1.1,1071107
1016.956238,-1.11,1149687
1016.97229,-1.1,1183060
1016.971985,-1.11,1149092
1016.980286,-1.1,1127321
1016.935547,-1.11,1124630
1016.935242,-1.1,1106361
1016.916809,-1.11,1132628
1016.939026,-1.1,1161914
1016.918823,-1.11,1164444
1016.958557,-1.1,1116477
1016.940491,-1.11,1121217
1016.957886,-1.11,1113840
1016.938721,-1.11,1126012
1016.919189,-1.11,1102066
1016.92334,-1.11,1092948
1016.889526,-1.11,1101344
1016.884766,-1.1,1099939
1016.8974,-1.11,1124612
1016.922913,-1.1,1111163
1016.875488,-1.11,1122908
1016.901733,-1.11,1170830
1016.882507,-1.11,1128043
1016.896729,-1.12,1107066
1016.855713,-1.11,1139114
1016.844604,-1.11,1114083
1016.874084,-1.1,1152557
1016.895569,-1.11,1073502
1016.848511,-1.11,1133971
1016.803162,-1.11,1192647
1016.780701,-1.11,1099233
1016.78125,-1.11,1084175
1016.765015,-1.11,1138058
1016.786804,-1.1,1130105
1016.737488,-1.11,1127349
1016.740601,-1.11,1171243
1016.777344,-1.1,1108180
1016.754089,-1.1,1146671
1016.791138,-1.11,1159841
1016.739075,-1.11,1215302
1016.75238,-1.11,1134813
1016.685486,-1.11,1114441
1016.752014,-1.11,1158778
1016.788391,-1.11,1106983
1016.686707,-1.11,1090632
1016.706116,-1.11,1107910
1016.717224,-1.11,1103503
