T,t1,t2,t4
5.96610117,7.5,390.1,571.0
5.893648624,7.6,390.3,571.1
5.82831192,7.5,390.3,570.8
5.736888409,7.5,390.2,570.8
5.693562984,7.6,390.2,570.8
5.674293041,7.6,390.1,570.9
5.707399845,7.5,390.2,570.9
5.760818005,7.5,390.1,570.6
5.800995827,7.6,390.3,570.7
5.834579945,7.7,390.2,571.0
5.819546223,7.7,390.1,571.5
5.831848621000001,7.8,390.1,571.4
5.504954815,7.9,390.2,571.3
5.194205761,7.9,390.3,571.3
5.025313854,8.0,390.4,571.9
4.901553154,8.1,390.4,571.6
4.782056332,8.1,390.5,571.5
4.699232101000001,8.1,390.6,571.4
4.519248962,8.1,390.6,571.3
4.42243433,8.1,390.4,571.3
4.407641411,8.1,390.5,571.3
4.377399921,8.1,390.4,570.4
4.43565321,8.2,390.4,570.1
4.375207424,8.2,390.2,570.3
4.266507149,8.2,390.2,570.4
4.238777637,8.2,390.1,570.4
4.105422974,8.3,390.3,570.5
4.050618649,8.3,390.4,570.4
4.023570538,8.3,390.5,570.4
3.991107941,8.3,390.4,570.9
3.936397552,8.3,390.3,570.8
3.882353783,8.3,390.6,570.7
3.854199648,8.3,390.4,571.0
3.80374217,8.3,390.5,571.1
3.718010664,8.4,390.6,571.0
3.63692522,8.4,390.6,570.8
3.615456581,8.4,390.6,571.1
3.571710825,8.4,390.7,570.9
3.524730206,8.4,390.6,571.0
3.481792927,8.4,390.6,571.0
3.4690513610000004,8.5,390.5,571.0
3.441052198,8.4,390.6,571.0
3.449531794,8.4,390.7,571.1
3.500371218,8.4,390.6,571.7
3.529341459,8.4,390.6,572.0
3.477817535,8.4,390.6,571.8
3.4770689010000004,8.4,390.5,571.2
3.415229559,8.3,390.5,571.1
3.356780291,8.3,390.4,571.0
3.294332027,8.3,390.4,571.2
3.258761168,8.3,390.4,571.2
3.193232059,8.2,390.4,571.1
3.146618128,8.2,390.2,570.9
3.122635365,8.3,390.4,570.9
3.069155931,8.2,390.4,570.9
3.079381704,8.2,390.3,571.1
3.05181551,8.2,390.5,571.0
3.040837526,8.2,390.4,570.8
3.042105675,8.1,390.2,571.1
3.053179741,8.1,390.1,571.0
3.089120865,7.9,390.0,570.8
3.11685729,7.9,390.0,570.9
3.173758745,7.9,390.1,570.9
3.196628094,7.8,390.0,570.7
3.2320444580000003,7.8,389.9,570.5
3.234170437,7.8,390.0,570.7
3.204538584,7.8,389.9,570.9
3.172060966,7.8,389.8,570.9
3.170200109,7.8,389.9,571.0
3.17403841,7.8,389.8,571.0
3.181906462,7.8,389.8,570.9
3.173100948,7.8,389.9,570.8
3.184912682,7.8,389.7,570.6
3.228030443,7.8,389.7,570.6
3.263464212,7.8,389.8,570.3
3.3086893560000004,7.7,389.8,570.1
3.323719501,7.7,389.7,570.3
3.3679690360000003,7.6,389.6,570.1
3.340621233,7.6,389.6,570.1
3.310990334,7.6,389.7,569.8
3.250757456,7.5,389.8,569.6
3.194023132,7.4,389.7,569.4
3.207089424,7.4,389.6,569.4
3.207089424,7.3,389.6,569.2
3.322214603,7.2,389.6,569.2
3.497826099,7.0,389.5,569.1
