T,t1,t2,t4
26.35176468,25.9,403.2,588.9231
26.39845085,26.1,403.0,589.1443
26.3365593,26.0,403.1,589.388
26.3468399,26.1,403.2,589.3445
26.26673889,26.1,403.1,589.6167
26.13455009,25.8,403.0,589.3493
26.12388992,26.1,403.0,589.855
26.10125542,26.1,403.2,589.6464
26.07434082,25.7,402.8,589.5436
26.11182213,25.7,402.9,589.6918
26.16721344,25.9,402.7,589.5668
26.14968491,26.5,402.9,589.867
26.08725739,25.9,403.0,589.5874
26.04664612,26.0,402.9,589.6594
26.0143261,26.0,402.9,589.6292
26.02788162,25.9,402.7,589.5746
26.04797173,26.0,402.7,589.6727
26.03518486,26.0,402.6,589.3931
26.03144073,25.9,402.5,589.3807
26.03186417,26.0,402.6,589.43
26.03295135,25.7,402.5,589.5393
26.02987099,25.7,402.3,589.2413
25.99504471,25.6,402.3,589.1981
26.05015755,25.7,402.4,589.1727
25.92393112,25.6,402.3,588.8964
25.84796143,25.8,402.3,588.9707
25.67734337,25.8,402.5,589.181
25.66225624,25.7,402.4,588.8085
25.66088486,25.7,402.1,588.7617
25.65049362,25.7,402.3,589.2002
25.55024338,25.5,402.3,588.8373
25.46992683,25.5,402.3,588.8493
25.36968994,25.3,402.1,588.5085
25.29948997,25.4,402.2,588.5585
25.18715096,25.3,401.9,588.5106
25.12679863,25.2,401.9,588.2859
25.06295204,25.1,401.7,587.9664
25.07620049,25.2,401.7,588.1866
25.05905914,25.2,401.8,588.2403
25.01911926,25.2,401.8,588.1486
24.90932655,25.2,401.7,588.0941
24.88480377,25.3,401.7,588.1461
24.87603569,25.3,401.6,588.2672
24.83785248,25.3,401.7,588.3152
24.81989479,25.3,401.7,588.2175
24.83941841,25.4,401.7,588.1029
24.83348083,25.2,401.7,588.1418
24.87640381,25.2,401.7,588.2417
24.79495621,25.0,401.5,588.0757
24.72621536,24.8,401.3,587.8704
24.70940971,25.1,401.4,587.9925
24.71907806,25.0,401.6,587.941
24.68810272,25.0,401.4,587.8322
24.65848351,24.9,401.4,587.845
24.60277367,25.4,401.4,588.3578
24.58274269,25.3,401.5,588.8796
24.58376122,25.2,401.4,589.1619
24.56732368,25.1,401.5,588.8713
24.47642708,25.0,401.4,589.1783
24.43758774,24.9,401.3,588.5886
24.44813156,25.0,401.2,588.2196
24.40906906,25.0,401.3,588.0597
24.30633545,24.7,401.2,587.674
24.30906677,24.8,401.2,587.6938
24.34822464,25.0,401.2,587.8448
24.36634636,24.9,401.3,587.7908
24.33982658,24.6,401.2,587.5032
24.30201721,24.6,401.0,587.1638
24.29395485,24.6,400.9,587.2115
24.28260612,24.5,400.8,587.227
24.23038864,24.5,400.8,587.2130000000001
24.18494225,24.6,400.9,587.3447
24.14599228,24.6,400.9,587.2858
24.13393402,24.5,400.9,587.1569
24.16392899,24.5,400.9,587.2474
24.12521935,24.5,400.9,587.1881
24.12394142,24.6,400.9,587.0668
24.14066124,24.5,400.8,586.9524
24.21016121,24.5,400.8,586.9685
24.23381233,24.4,400.8,586.5721
24.27781296,24.3,400.5,586.8279
24.20544815,24.4,400.4,587.0114
24.17500877,24.6,400.6,587.1061
24.1624279,24.7,400.7,587.2425
24.14348793,24.5,400.7,587.4276
24.13030434,24.4,400.6,586.9785
24.12965584,24.3,400.5,586.8837
24.11617851,24.2,400.4,587.0243
24.09779739,24.1,400.3,586.8326
24.07412338,24.1,400.1,586.6474
24.06825638,24.2,400.3,586.8882
24.09320068,24.2,400.4,586.7997
24.08693314,24.3,400.3,586.9449
24.0819931,24.4,400.4,586.9858
24.11937332,24.4,400.4,587.1457
24.11322021,24.4,400.5,586.8403
24.02376938,24.3,400.4,587.0404
24.00090981,24.3,400.5,587.1134
24.04609299,24.3,400.3,587.2455
24.058504100000004,24.4,400.4,587.4263
24.02923965,24.2,400.4,586.9487
24.05169296,24.3,400.4,586.9271
24.10860825,24.4,400.3,586.7883
24.10547256,24.3,400.4,586.8876
24.05642319,24.1,400.2,586.5497
24.01524162,24.0,400.2,586.4528
24.06362152,24.1,400.3,586.5199
24.05810547,24.3,400.4,586.799
24.0026207,24.2,400.3,586.7153
24.01549911,24.2,400.2,586.4733
23.95556068,24.1,400.0,586.8587
23.91538048,24.1,400.0,586.7202
23.87616539,24.0,399.7,586.9396
23.83353043,23.9,399.9,586.8722
23.81384468,24.0,400.2,586.4813
23.82026672,23.9,400.2,586.4824
23.80995941,23.9,400.1,586.2134
23.79005814,23.9,400.1,586.2305
23.77027702,23.9,400.0,586.3049
23.74144554,23.9,399.9,586.3874
23.75249672,23.9,399.9,586.6171
23.77175522,23.8,399.8,586.2942
23.76425934,23.9,399.8,586.2136
23.75854874,24.1,399.8,586.7090000000001
23.79207993,24.0,399.9,586.4619
23.79504776,23.8,399.9,586.3349
23.81180954,23.9,399.9,586.2432
23.80127525,23.7,400.0,586.062
23.75208664,23.8,399.8,586.8036
23.76807404,23.7,399.9,587.7132
23.70684814,23.6,399.8,588.1403
23.69487381,23.6,399.8,587.7063
23.70537186,23.6,399.5,586.5067
23.67058754,23.6,399.5,586.1497
23.65206718,23.5,399.4,586.064
23.5762825,23.4,399.4,585.6685
