P,p1,m4
1015.435669,-1.55,1335464
1015.376038,-1.55,1324851
1015.367432,-1.55,1319673
1015.3349,-1.55,1303585
1015.289429,-1.54,1311440
1015.2854,-1.55,1309014
1015.24353,-1.55,1331402
1015.269165,-1.56,1264388
1015.287781,-1.56,1321571
1015.276001,-1.56,1294111
1015.33728,-1.56,1350020
1015.364014,-1.57,1325210
1015.380554,-1.56,1288435
1015.382568,-1.56,1329503
1015.369751,-1.56,1309466
1015.425171,-1.57,1295339
1015.409302,-1.55,1243224
1015.435303,-1.56,1283688
1015.446045,-1.55,1269355
1015.459167,-1.55,1320421
1015.492615,-1.56,1335905
1015.457275,-1.56,1311754
1015.44989,-1.55,1366585
1015.501038,-1.56,1263266
1015.450073,-1.56,1265380
1015.488647,-1.56,1376884
1015.501038,-1.56,1326181
1015.437683,-1.56,1332270
1015.45697,-1.56,1324560
1015.436157,-1.56,1314918
1015.436523,-1.56,1300716
1015.394104,-1.56,1301511
1015.35791,-1.56,1297141
1015.385986,-1.56,1309400
1015.389404,-1.57,1248210
1015.371582,-1.56,1287582
1015.401062,-1.57,1305708
1015.405457,-1.56,1345938
1015.363342,-1.57,1348823
1015.378296,-1.56,1343741
1032.231201,-1.56,1311032
1032.528198,-1.56,1327151
1032.496094,-1.56,1387654
1032.32666,-1.56,1279537
1032.361206,-1.57,1310798
1032.528564,-1.57,1279448
1032.337402,-1.56,1331680
1032.363159,-1.56,1326331
1032.428223,-1.56,1298899
1032.276245,-1.57,1292692
1032.23645,-1.57,1300971
1032.196289,-1.57,1311807
1032.310303,-1.57,1292704
1032.466797,-1.56,1312269
1032.339966,-1.56,1292530
1032.37439,-1.56,1300759
1032.299072,-1.57,1303983
1032.321167,-1.56,1295675
1032.234863,-1.56,1281319
1032.270386,-1.56,1319354
1032.496826,-1.55,1327314
1032.47937,-1.56,1278416
1032.61377,-1.56,1297720
1032.560791,-1.56,1312314
1032.604492,-1.56,1289899
1032.671997,-1.55,1285951
1032.43335,-1.57,1293478
1032.318481,-1.55,1295499
1032.276123,-1.54,1299719
1032.265015,-1.55,1363545
1032.25354,-1.55,1319768
1032.515625,-1.54,1328357
1032.387573,-1.55,1382324
1032.615112,-1.56,1339384
1032.56189,-1.55,1285749
1032.684204,-1.55,1317361
1032.5115970000002,-1.56,1270639
1032.39209,-1.54,1278180
1032.369385,-1.56,1255056
1032.39917,-1.56,1252126
1032.368164,-1.56,1321730
1032.296265,-1.56,1339308
1032.470703,-1.56,1320621
1032.376343,-1.55,1316708
1032.4279789999998,-1.56,1257285
1032.431152,-1.56,1264420
1032.434448,-1.56,1260442
1032.417725,-1.56,1323880
1032.389404,-1.55,1300818
1032.646851,-1.55,1312419
1032.451538,-1.57,1289606
1032.413574,-1.56,1283446
1032.387451,-1.57,1308204
1032.420532,-1.55,1360702
1032.39917,-1.57,1298901
1032.483765,-1.56,1295745
1032.477905,-1.57,1346019
1032.313965,-1.56,1293991
1032.470093,-1.55,1391678
1032.503906,-1.57,1351498
101.0328186,-0.08,1394798
101.0275391,-0.08,1464023
101.0251953,-0.08,1418541
101.0276062,-0.08,1394080
101.0272156,-0.08,1416540
101.02854,-0.08,1444396
101.0246887,-0.08,1475765
101.0195679,-0.08,1413378
101.0259399,-0.08,1428972
101.0316772,-0.08,1340450
101.0225525,-0.08,1417909
101.0249146,-0.08,1421774
101.0223328,-0.08,1446273
101.0176025,-0.08,1431028
101.0194458,-0.08,1433308
101.0202393,-0.08,1372657
101.0169739,-0.08,1420346
101.0233337,-0.08,1468115
101.0196899,-0.08,1403961
101.021106,-0.08,1435691
101.0236328,-0.08,1414431
101.0215637,-0.08,1400002
101.0205322,-0.08,1396413
101.020929,-0.08,1439774
101.0216492,-0.08,1428534
101.0242249,-0.08,1444948
101.0246155,-0.08,1430288
101.0227051,-0.08,1442099
101.0238953,-0.08,1423736
101.0223022,-0.08,1447649
101.0242004,-0.08,1434604
101.0226318,-0.08,1446079
101.0187439,-0.08,1493322
101.0195435,-0.08,1433971
101.0174072,-0.08,1419122
101.01893309999998,-0.08,1450262
101.0178345,-0.08,1429482
101.0127747,-0.08,1418448
101.0128784,-0.08,1424407
101.0161743,-0.08,1358273
101.0110779,-0.08,1431867
101.0092834,-0.08,1459519
101.0096863,-0.08,1453874
101.0097412,-0.08,1407114
101.00495,-0.08,1415079
101.003009,-0.08,1403770
101.0048523,-0.08,1403816
101.0080444,-0.08,1449283
101.0016479,-0.08,1442799
101.0074524,-0.08,1401877
101.0060913,-0.08,1476746
101.0063965,-0.08,1437047
101.0103271,-0.08,1432886
101.0049255,-0.08,1390500
101.0090088,-0.08,1459131
101.0098755,-0.08,1454304
101.0076782,-0.08,1399530
101.0067566,-0.08,1421203
100.9999329,-0.08,1428366
100.9993774,-0.08,1427726
100.9989685,-0.08,1468735
100.9954163,-0.08,1396355
100.9942749,-0.08,1397009
100.9958191,-0.08,1461098
100.9959656,-0.08,1479258
100.9915344,-0.08,1403982
100.9927734,-0.08,1437486
100.9907043,-0.08,1441218
100.9879944,-0.08,1487436
100.98579709999998,-0.08,1448399
100.9862915,-0.08,1492908
100.9837769,-0.08,1421581
100.9846741,-0.08,1469955
100.984137,-0.08,1454412
100.9832642,-0.08,1435795
100.977771,-0.08,1480749
100.9766785,-0.08,1469298
100.97752690000002,-0.08,1443784
100.9768066,-0.08,1511233
100.9736206,-0.08,1444277
100.9721497,-0.08,1477473
100.9716797,-0.08,1406419
100.9709045,-0.08,1425657
100.9704834,-0.08,1468687
100.9684998,-0.08,1421223
100.969281,-0.08,1456104
100.9679504,-0.08,1363018
100.9677246,-0.08,1467108
100.9669312,-0.08,1450680
100.9604675,-0.08,1474912
100.9644592,-0.08,1417007
100.9561707,-0.08,1514461
100.9589905,-0.08,1421768
100.9547241,-0.08,1447929
100.9555786,-0.08,1431209
100.9583557,-0.08,1471799
100.9562195,-0.08,1380600
100.9561157,-0.08,1409013
100.9563293,-0.08,1434802
100.9575256,-0.08,1418895
100.9526001,-0.08,1419685
100.9505493,-0.08,1445499
100.9513245,-0.08,1433307
100.949054,-0.08,1387800
100.948877,-0.08,1476395
100.9469299,-0.08,1479043
100.9481445,-0.08,1442305
100.9496216,-0.08,1465494
100.9429016,-0.08,1431254
100.9419922,-0.08,1446978
100.9391785,-0.08,1451635
100.9371948,-0.08,1467669
100.9360046,-0.08,1399771
100.9392029,-0.08,1497394
100.9389404,-0.08,1455541
100.9341003,-0.08,1425414
100.932373,-0.08,1448150
100.9250122,-0.08,1470559
100.9264221,-0.08,1427044
100.9226196,-0.08,1440205
100.9259827,-0.08,1486673
100.9201965,-0.08,1519508
100.9226379,-0.08,1485023
100.922699,-0.08,1502078
100.9235229,-0.08,1472411
100.9195618,-0.08,1457454
100.9210815,-0.08,1454006
100.9101013,-0.08,1484602
100.9146973,-0.08,1438690
100.9120361,-0.08,1510361
100.910437,-0.08,1472671
100.9087402,-0.08,1446242
100.903241,-0.08,1422421
100.9008972,-0.08,1441622
100.9001099,-0.08,1396561
100.8946716,-0.08,1453809
100.89855959999998,-0.08,1494962
100.8965027,-0.08,1498998
100.8943848,-0.08,1484168
100.8923401,-0.08,1404620
100.8863892,-0.08,1438282
100.8868591,-0.08,1443234
100.8872681,-0.08,1452184
100.881366,-0.08,1441296
100.8863281,-0.08,1443230
100.8783325,-0.08,1421965
100.8720337,-0.08,1360766
100.8764771,-0.08,1497520
100.8706787,-0.08,1454222
100.8728943,-0.08,1453826
100.8671448,-0.08,1393767
100.8638916,-0.08,1450662
100.8641174,-0.08,1534371
100.8590942,-0.08,1415211
100.8600586,-0.08,1430280
100.8573853,-0.08,1419009
100.8628967,-0.08,1451411
100.8560852,-0.08,1432263
100.8560486,-0.08,1425347
100.8573608,-0.08,1500661
100.8482666,-0.08,1426800
100.844928,-0.08,1445125
100.8372253,-0.08,1451980
100.8428894,-0.08,1506831
100.8410522,-0.08,1459738
100.8384216,-0.08,1512422
100.840625,-0.08,1387069
100.838623,-0.08,1431887
100.8355103,-0.08,1445426
100.8361938,-0.08,1479298
100.8321533,-0.08,1468863
100.83349,-0.08,1441139
100.8313843,-0.08,1432747
100.8300781,-0.08,1501957
100.8330994,-0.08,1430773
100.8270081,-0.08,1453454
100.8255432,-0.08,1460382
100.8271729,-0.08,1450323
100.8254333,-0.08,1388152
100.8246582,-0.08,1468453
100.8235718,-0.08,1440945
100.8270325,-0.08,1456410
100.8291443,-0.08,1438567
100.8238525,-0.08,1424924
100.8239563,-0.08,1457918
100.8225342,-0.08,1465004
100.819873,-0.08,1472110
100.8206482,-0.08,1469293
100.8171082,-0.08,1480879
100.8144592,-0.08,1505683
100.8141541,-0.08,1480948
100.8155518,-0.08,1437238
100.8107056,-0.08,1440150
100.812146,-0.08,1391260
100.8049194,-0.08,1440442
100.8044128,-0.08,1433417
100.8064941,-0.08,1458264
100.8093506,-0.08,1398559
100.8080627,-0.08,1450466
100.8113953,-0.08,1436539
100.8049072,-0.08,1461191
100.8063538,-0.08,1448162
100.8053711,-0.08,1409845
100.7995239,-0.08,1468870
100.7987854,-0.08,1424833
100.7966309,-0.08,1500644
100.7939453,-0.08,1530568
100.792804,-0.08,1448983
100.7878845,-0.08,1422712
100.7840088,-0.08,1488449
100.7828369,-0.08,1481899
100.7802185,-0.08,1404382
100.7821411,-0.08,1441227
100.7786072,-0.08,1452421
100.778241,-0.08,1493557
100.7800842,-0.08,1449617
