T,t1,t2,t4
28.24154472,28.5,462.6,609.0081
28.19508171,28.5,462.6,609.0623
28.19430923,28.7,462.6,609.5302
28.28080559,29.0,462.7,609.908
28.32805824,28.7,462.8,609.5297
28.4585247,28.8,462.6,609.3852
28.49436188,28.8,462.8,609.8325
28.58550262,29.0,463.0,609.6793
28.56367874,29.0,463.1,609.3371
28.56594467,28.9,463.1,609.7344
28.668136600000004,29.0,463.3,609.3305
28.708992,28.8,463.3,609.3971
28.69110298,29.1,463.2,609.9479
28.82734871,29.0,463.1,609.9052
28.80403709,29.3,463.2,610.4544
28.78149223,29.1,463.3,609.538
28.79432869,29.1,463.1,610.2401
28.95751953,29.2,463.3,609.9659
28.99610901,29.2,463.1,610.5939
29.10174561,29.8,463.5,610.3995
29.24349785,29.7,463.6,610.2424
29.24661446,29.4,463.9,610.5518
29.18192863,29.1,463.4,609.7089
29.18349075,29.2,463.5,610.2734
29.1718483,29.3,463.7,610.2881
29.1355381,29.4,463.8,609.7142
29.06383324,29.6,464.1,610.6469999999999
29.09713173,29.1,464.1,609.5868
29.01699638,29.3,463.8,610.9973
28.98935509,29.7,463.7,610.067
28.96009636,29.4,463.9,610.1887
28.98947144,29.5,464.0,610.3137
29.02931786,29.6,464.0,610.5402
29.081758500000003,29.4,464.0,610.37
29.1163063,29.0,463.8,609.2454
29.18125534,29.6,464.2,610.5566
29.25143623,29.9,464.4,610.6918
29.36579132,30.1,464.4,610.6226
29.49274635,30.2,464.6,610.9335
29.45882225,29.9,464.6,610.7803
29.3801899,29.4,464.0,610.2154
29.3512249,29.4,463.9,610.3583
29.30005646,29.9,464.2,610.873
29.29249763,29.8,464.3,610.4561
29.36612892,29.1,464.0,609.8806
29.58638382,29.4,464.1,610.8423
29.74423409,29.9,464.3,610.1884
29.70364761,29.8,464.6,610.3346
29.75837898,30.0,464.7,610.7641
29.83225632,30.3,464.8,611.0228
29.88919067,29.9,464.6,610.1751
29.97959137,30.0,464.5,611.1671
29.99598122,29.9,464.3,610.2488
36.45922852,31.3,466.0,605.4879
36.72603607,31.2,466.3,606.9017
36.30239105,31.1,466.3,608.1383
36.19208527,31.1,466.2,608.7534
35.96014404,31.5,466.7,608.2094
35.79272461,31.6,466.8,608.0799
35.63480377,31.5,466.8,608.1345
35.44527817,31.7,466.8,608.6429
35.44982529,32.0,467.1,609.7267
35.05033493,31.4,466.7,609.3015
35.16026688,31.5,466.6,608.2118
34.79822922,31.4,466.6,608.7180000000001
34.59048843,31.1,466.2,609.1342
34.40888977,31.6,466.4,608.941
34.29102707,31.5,466.5,608.8675
34.03847885,31.3,466.3,608.1833
34.05633545,31.1,466.2,607.4299
33.80674744,31.4,466.4,608.6891
33.65109253,31.1,466.3,608.2715
33.49671173,31.1,466.3,607.8497
33.42329788,31.5,466.6,607.6237
33.33031082,31.3,466.6,607.7057
33.24633789,31.6,466.7,607.5696
33.15604782,31.1,466.3,607.0254
33.14550781,31.2,466.3,607.3207
33.16862106,31.1,466.0,607.629
33.11217499,31.6,466.5,608.1843
33.11468887,31.1,466.4,607.3147
33.17698288,31.3,466.3,607.6271
33.22306824,31.8,466.4,608.9038
33.23931885,31.4,466.4,609.2408
33.46129227,31.1,466.3,608.2205
33.64993286,31.3,466.2,608.2707
33.60102463,30.8,466.2,607.8423
33.66630554,30.9,466.2,607.1351
33.75657272,31.3,466.3,607.2126
33.92721176,31.2,466.4,608.3921
34.27910233,31.2,466.6,607.7019
34.6192894,31.4,466.7,608.3173
35.07089615,31.5,466.6,608.5399
35.09298706,31.4,466.8,607.9951
35.25133514,31.3,466.7,608.4747
35.2758522,31.7,467.0,608.2924
34.98553467,31.6,467.1,608.8334
34.67980576,31.8,467.0,609.0769
34.52626419,31.4,467.2,608.5174
34.77750015,31.6,467.0,609.0065
34.68912125,32.0,467.0,609.8337
34.84137726,31.6,467.1,609.3658
34.65880203,31.6,466.9,609.7068
34.56616974,31.2,466.7,608.812
34.57530212,31.6,466.9,609.2581
34.55364227,31.2,466.6,608.4101
34.67667389,31.4,466.8,608.9804
34.91810989,32.2,467.1,609.6725
34.74842834,32.1,467.3,610.5853
34.32973099,31.9,467.2,610.1232
34.17298126,31.2,466.9,609.5809
34.16359329,31.3,466.6,609.1042
34.34915161,31.4,466.6,609.431
34.55039215,31.5,466.6,609.6969
34.77140045,31.5,466.8,609.8923
34.92199326,31.7,466.7,609.6256
35.05697632,31.7,467.0,609.9821
35.09797287,31.6,466.9,609.3338
35.05717468,31.3,466.6,608.8074
34.9454689,31.5,466.7,609.188
34.86677551,31.9,467.0,609.2811
34.83933258,31.5,466.6,608.9226
34.74287033,31.6,466.7,609.3219
34.63720322,31.5,466.5,609.3098
34.58787537,31.3,466.5,608.5195
34.55666351,30.9,466.3,607.4857
34.52832794,31.0,466.2,607.8442
34.49369049,31.1,466.2,607.7799
34.52548218,31.7,466.5,608.8633
34.54837799,31.3,466.6,609.58
34.51767349,31.2,466.2,609.1863
34.56128693,31.3,466.2,608.3354
34.54133606,31.2,466.1,607.9418
34.64856339,31.5,466.4,608.4666
34.75818253,30.7,466.2,608.8907
34.59669876,31.4,466.0,608.4301
34.73724747,30.9,466.2,608.9746
34.92346573,31.4,466.3,608.7054
35.11029816,31.2,466.7,608.3052
34.68671417,31.8,466.9,609.1703
34.38036346,31.3,466.5,609.1423
34.20530701,31.1,466.5,608.8292
34.18885039999999,31.3,466.3,608.6492
34.34605026,31.0,466.3,607.9719
34.29608154,31.1,466.5,607.839
34.03253937,31.0,466.3,607.9416
33.96265411,31.1,466.5,608.2307
33.76387024,31.2,466.2,608.8684
33.76649857,31.3,466.2,608.9875
33.81654358,30.9,466.0,608.0035
33.87122345,30.8,466.1,607.1921
33.80043793,30.8,466.0,607.3330000000001
33.74691772,31.1,466.1,607.3197
33.8732872,31.2,466.2,608.6747
33.89943695,31.3,466.1,608.8424
33.93764114,31.3,466.3,608.8182
34.03395462,31.2,466.2,608.3379
34.0855217,31.3,466.2,608.5193
34.08672714,31.0,466.2,607.7166
34.04933929,30.7,466.2,607.5512
34.02957153,31.1,466.0,607.8226
33.94844818,30.9,466.0,608.4188
33.77240753,31.2,466.0,608.6949
33.65289688,31.2,466.2,608.7769
33.377285,31.3,466.3,608.606
33.27313232,30.7,465.7,607.535
33.17717743,30.9,465.9,607.9059
33.12290573,30.8,465.9,607.413
33.20157242,31.1,466.1,607.6364
33.40370941,30.8,466.1,607.4436
33.50053787,30.9,466.1,607.2213
33.65922928,31.1,466.3,607.9057
