Power,p2,m_gas
282.185,1.72,76984
282.4781,1.72,76877
282.0527,1.72,77061
282.1505,1.72,76773
281.9692,1.72,76866
281.713,1.72,76908
281.399,1.72,76856
281.7719,1.72,76728
281.4892,1.72,76678
282.4824,1.72,76866
282.2237,1.72,76759
282.1349,1.72,76914
282.7605,1.72,77016
282.3286,1.72,76998
281.5409,1.72,76833
281.1253,1.72,76638
281.1482,1.72,76702
281.634,1.72,76743
281.931,1.72,76859
282.3459,1.72,76918
282.6923,1.72,76905
282.0246,1.72,76824
281.1786,1.72,76865
281.7995,1.72,76910
282.0713,1.72,76874
281.2651,1.72,77021
282.2242,1.72,76859
281.9164,1.72,76855
282.6359,1.72,77022
282.0539,1.72,76901
282.4645,1.72,76788
281.4725,1.72,76891
282.0569,1.72,76769
282.1264,1.72,76767
281.7437,1.72,76806
281.7954,1.72,76728
281.1441,1.72,76649
283.3371,1.72,76981
281.8787,1.72,76806
282.4798,1.72,76761
281.719,1.72,76869
282.6075,1.72,76789
281.9095,1.72,76863
282.2473,1.72,76898
281.9019,1.72,76758
282.2678,1.72,76832
282.3125,1.72,76948
282.3392,1.72,76872
281.6537,1.72,76841
282.0809,1.72,77034
281.8233,1.72,76925
282.2751,1.72,76926
282.0599,1.72,77023
282.5073,1.72,77058
282.3669,1.72,76856
281.8816,1.72,76815
281.9207,1.72,76646
281.7178,1.72,76807
281.7239,1.72,76803
281.9088,1.72,76896
281.9852,1.72,76908
281.4844,1.72,76789
282.4003,1.72,76882
282.4299,1.72,76903
283.1566,1.72,76932
282.856,1.72,77226
283.0984,1.72,76933
281.8144,1.72,76866
281.3676,1.72,76860
282.2788,1.72,76943
281.4229,1.72,76853
282.495,1.72,76895
282.6361,1.72,77011
282.3607,1.72,76971
282.4397,1.72,76913
282.6567,1.72,76858
282.1783,1.72,76830
281.942,1.72,76991
282.1332,1.72,76933
282.5169,1.72,76896
281.8482,1.72,76852
282.4187,1.72,76791
282.4478,1.72,76903
281.8347,1.72,76946
282.5282,1.72,76950
282.2568,1.72,76917
282.1348,1.72,76964
