Power,p2,m_gas
169.8,1.24,52826
169.9,1.24,52735
170.0,1.24,52775
170.2,1.24,52820
170.4,1.24,52793
169.9,1.24,52825
170.4,1.24,52766
170.0,1.24,52908
170.3,1.24,52697
170.7,1.24,52828
169.7,1.24,53034
170.2,1.24,52807
170.0,1.24,52912
170.3,1.24,52762
170.4,1.24,52939
170.5,1.24,52891
170.3,1.24,52782
169.2,1.24,52924
170.0,1.24,52660
169.9,1.24,52792
168.7,1.24,52823
168.5,1.24,52395
168.8,1.24,52487
168.7,1.24,52379
168.8,1.24,52395
168.1,1.24,52516
168.2,1.24,52438
167.7,1.24,52493
168.5,1.24,52303
168.5,1.24,52581
168.4,1.24,52542
168.6,1.24,52408
169.3,1.24,52641
169.0,1.24,52421
168.9,1.24,52555
168.3,1.24,52431
169.2,1.24,52523
169.0,1.24,52549
168.7,1.24,52449
168.6,1.24,52456
168.7,1.24,52490
168.9,1.24,52524
169.8,1.24,52584
169.5,1.24,52557
169.0,1.24,52648
169.1,1.24,52528
168.8,1.24,52439
169.3,1.24,52556
168.5,1.24,52484
169.0,1.24,52490
168.4,1.24,52510
168.1,1.24,52416
169.1,1.24,52535
169.8,1.24,52478
169.0,1.24,52623
168.0,1.24,52489
168.9,1.24,52467
169.3,1.24,52574
168.7,1.24,52612
168.9,1.24,52505
168.9,1.24,52486
168.4,1.24,52545
169.0,1.24,52505
168.7,1.24,52512
169.2,1.24,52524
169.1,1.24,52562
168.9,1.24,52553
169.3,1.24,52742
168.6,1.24,52455
169.3,1.24,52548
168.3,1.24,52606
169.1,1.24,52476
168.8,1.24,52512
169.2,1.24,52506
168.8,1.24,52473
168.7,1.24,52453
169.0,1.24,52431
168.6,1.24,52484
169.5,1.24,52499
168.9,1.24,52467
169.0,1.24,52504
169.0,1.24,52473
168.7,1.24,52560
169.0,1.24,52461
169.2,1.24,52463
169.1,1.24,52497
169.5,1.24,52497
169.0,1.24,52537
168.6,1.24,52569
169.0,1.24,52512
169.1,1.24,52647
169.6,1.24,52487
169.2,1.24,52640
169.1,1.24,52574
169.6,1.24,52579
168.9,1.24,52548
168.8,1.24,52506
168.5,1.24,52554
169.0,1.24,52560
169.1,1.24,52600
169.5,1.24,52562
169.4,1.24,52528
168.8,1.24,52550
169.0,1.24,52576
168.7,1.24,52605
168.9,1.24,52611
168.9,1.24,52498
169.3,1.24,52555
168.6,1.24,52644
168.8,1.24,52497
168.5,1.24,52660
169.1,1.24,52485
169.3,1.24,52543
168.7,1.24,52556
169.1,1.24,52503
169.4,1.24,52641
168.9,1.24,52413
168.6,1.24,52596
169.0,1.24,52556
169.1,1.24,52535
169.0,1.24,52572
169.5,1.24,52496
169.4,1.24,52583
169.5,1.24,52645
168.8,1.24,52502
168.9,1.24,52602
169.3,1.24,52489
168.9,1.24,52601
168.3,1.24,52614
168.5,1.24,52564
168.4,1.24,52569
169.3,1.24,52530
168.8,1.24,52510
168.6,1.24,52590
168.6,1.24,52431
168.6,1.24,52647
168.6,1.24,52483
168.8,1.24,52491
169.1,1.24,52545
169.5,1.24,52564
168.6,1.24,52688
169.3,1.24,52509
169.4,1.24,52703
169.0,1.24,52668
168.9,1.24,52632
169.3,1.24,52646
170.2,1.24,52632
169.6,1.24,52610
169.3,1.24,52729
169.2,1.24,52734
169.0,1.24,52742
168.9,1.24,52547
168.9,1.24,52637
168.8,1.24,52609
169.2,1.24,52746
169.6,1.24,52722
169.4,1.24,52720
169.4,1.24,52606
169.5,1.24,52585
169.6,1.24,52780
169.4,1.24,52791
169.8,1.24,52660
169.5,1.24,52610
169.3,1.24,52702
169.9,1.24,52685
169.6,1.24,52743
169.5,1.24,52712
169.2,1.24,52664
169.9,1.24,52706
169.4,1.24,52696
170.0,1.24,52703
