P,p1,m4
100.63184809999998,-0.08,1663509
100.6279541,-0.08,1649164
100.6341614,-0.08,1678377
100.6294067,-0.08,1688761
100.6289612,-0.08,1602377
100.6295288,-0.08,1647509
100.6298584,-0.08,1630153
100.6300842,-0.08,1640290
100.624585,-0.08,1618677
100.6228943,-0.08,1610976
100.6234741,-0.08,1667088
100.6180054,-0.08,1606180
100.6152893,-0.08,1635578
100.6145752,-0.08,1644429
100.610199,-0.08,1641757
100.6158569,-0.08,1631407
100.613623,-0.08,1654190
100.6154419,-0.08,1605289
100.6187988,-0.08,1634207
100.6153564,-0.08,1624806
100.6135742,-0.08,1609388
100.6113953,-0.08,1627290
100.6117371,-0.08,1645701
100.6070496,-0.08,1651142
100.6148132,-0.08,1676026
100.6127625,-0.08,1678099
100.61521,-0.08,1641666
100.620166,-0.08,1696947
100.614624,-0.08,1647684
100.6130615,-0.08,1627499
100.6126343,-0.08,1658493
100.6161865,-0.08,1639219
100.6109619,-0.08,1650134
100.6100098,-0.06,1583211
100.6087585,-0.08,1674072
100.6147766,-0.08,1677424
100.6084045,-0.08,1711023
100.6015747,-0.08,1658699
100.6047119,-0.08,1615827
100.5992249,-0.08,1690519
100.5962219,-0.08,1596287
100.5875854,-0.08,1612880
100.59104,-0.08,1668580
100.5921631,-0.08,1633623
100.5873413,-0.08,1599166
100.5900513,-0.08,1602842
100.5927185,-0.08,1640912
100.5873962,-0.08,1579651
100.5916931,-0.08,1659411
100.5869934,-0.08,1651232
100.5881653,-0.08,1672855
100.5900696,-0.08,1627618
100.5907593,-0.08,1650335
100.5854492,-0.08,1643513
100.5853455,-0.08,1670315
100.5855835,-0.08,1664210
100.578894,-0.08,1647932
100.5763428,-0.08,1676218
100.58078,-0.08,1635211
100.5818481,-0.08,1716195
100.5825378,-0.08,1672129
100.5811951,-0.08,1605021
100.5822632,-0.08,1629928
100.5772339,-0.08,1650374
100.5727844,-0.08,1662446
100.580304,-0.08,1590171
100.5770508,-0.08,1631580
100.5782227,-0.08,1647999
100.575293,-0.08,1646264
100.5781799,-0.08,1640095
100.5799011,-0.08,1648156
100.5812134,-0.08,1623385
100.5790527,-0.08,1623681
100.5807556,-0.08,1659729
100.5822571,-0.08,1663528
100.5812256,-0.08,1651120
100.5790222,-0.08,1685122
100.5787781,-0.08,1609372
100.5762695,-0.08,1630685
100.5811768,-0.08,1639706
100.5873779,-0.08,1594442
100.5859863,-0.08,1612150
100.5782898,-0.08,1592707
100.5838623,-0.08,1625719
100.57611690000002,-0.08,1593737
100.5779419,-0.08,1642688
100.582489,-0.08,1643790
100.5791138,-0.08,1678271
100.5760193,-0.08,1691621
100.5775879,-0.08,1659530
100.5802551,-0.08,1645103
100.5831726,-0.08,1631738
100.5798279,-0.08,1629442
100.5816284,-0.08,1571199
100.584491,-0.08,1591606
100.5950012,-0.08,1637457
100.5985901,-0.08,1649292
100.5959778,-0.08,1683476
100.5991455,-0.08,1641492
100.59337159999998,-0.08,1629907
100.5918884,-0.08,1621602
100.5969421,-0.08,1646545
100.5938354,-0.08,1665456
100.5926514,-0.08,1645198
100.5922729,-0.08,1638847
100.595636,-0.08,1598671
100.5949219,-0.08,1632675
100.5990234,-0.08,1658042
